Indice,ECG
0,16788
1,16654
2,16690
3,17152
4,17350
5,17471
6,17785
7,18311
8,18789
9,19654
10,20510
11,21356
12,22743
13,23869
14,25242
15,26325
16,27005
17,28083
18,29207
19,30817
20,34082
21,35691
22,38953
23,40027
24,41096
25,42463
26,43080
27,44180
28,45074
29,45830
30,46530
31,47197
32,47466
33,48018
34,49142
35,49818
36,50218
37,50653
38,50885
39,51062
40,51237
41,51693
42,51384
43,51417
44,51851
45,52235
46,52125
47,51898
48,51976
49,51657
50,51683
51,51193
52,50980
53,50558
54,50497
55,49666
56,49327
57,48450
58,47991
59,46670
60,45847
61,45707
62,45063
63,44832
64,43891
65,43049
66,41637
67,40732
68,39740
69,38868
70,37567
71,36484
72,34106
73,33083
74,31851
75,31065
76,29022
77,27537
78,26428
79,25316
80,23552
81,23118
82,22127
83,21452
84,20758
85,20197
86,19734
87,19116
88,19024
89,18232
90,18156
91,17628
92,17088
93,16580
94,16507
95,16442
96,16406
97,16254
98,16358
99,16660
100,16779
101,16794
102,17258
103,17591
104,17808
105,18619
106,19091
107,19735
108,20264
109,21006
110,21675
111,22792
112,23382
113,24194
114,25175
115,26014
116,26359
117,28023
118,29076
119,30098
120,31330
121,34489
122,35224
123,36759
124,37915
125,38953
126,40925
127,41971
128,42877
129,45147
130,46059
131,47087
132,47686
133,48397
134,49217
135,50178
136,50317
137,50468
138,51123
139,51162
140,51261
141,51397
142,51722
143,51689
144,51624
145,51934
146,52302
147,52025
148,51907
149,51823
150,51593
151,51186
152,51128
153,50489
154,50078
155,49414
156,48963
157,48467
158,47976
159,47292
160,46433
161,45433
162,44677
163,43544
164,41674
165,40711
166,39735
167,38641
168,35319
169,33853
170,32420
171,31207
172,29615
173,27545
174,26531
175,26271
176,25206
177,24396
178,23658
179,22451
180,21754
181,258
182,19911
183,19307
184,18632
185,18014
186,17695
187,17511
188,17034
189,16850
190,16772
191,16423
192,16258
193,16330
194,15986
195,16463
196,16312
197,16397
198,16596
199,16720
200,17194
201,17060
202,17295
203,17703
204,17842
205,18310
206,18838
207,19536
208,20696
209,21393
210,22082
211,23218
212,23930
213,24390
214,25174
215,26483
216,27575
217,28288
218,29097
219,30219
220,31398
221,32499
222,33837
223,34915
224,37232
225,38414
226,39440
227,40845
228,42022
229,43415
230,44593
231,46544
232,46846
233,47665
234,48032
235,48831
236,49572
237,50385
238,50908
239,51313
240,50997
241,51450
242,51664
243,51924
244,51483
245,51715
246,51995
247,51742
248,51763
249,51700
250,51216
251,51193
252,51192
253,51003
254,50599
255,50377
256,49749
257,49238
258,48601
259,48209
260,47708
261,46736
262,46197
263,45386
264,44814
265,43978
266,43014
267,41623
268,40716
269,39704
270,38714
271,37540
272,34726
273,34462
274,32811
275,31836
276,30752
277,29667
278,28609
279,27416
280,26558
281,25203
282,24067
283,23095
284,22233
285,21566
286,20589
287,19406
288,18723
289,18376
290,17900
291,17553
292,17057
293,16803
294,16327
295,16177
296,16252
297,16311
298,16431
299,16697
300,16848
301,17104
302,17212
303,17383
304,17831
305,18472
306,18447
307,19136
308,19244
309,20068
310,21069
311,21573
312,22294
313,22510
314,23106
315,23925
316,24749
317,25482
318,26846
319,28733
320,29372
321,30396
322,31339
323,32240
324,34258
325,35551
326,36047
327,37199
328,38865
329,39775
330,40590
331,41582
332,42396
333,42844
334,43705
335,45035
336,45824
337,46931
338,47404
339,48226
340,48949
341,49562
342,50067
343,50167
344,51219
345,51492
346,51386
347,51333
348,51825
349,52065
350,51672
351,51937
352,51734
353,51162
354,51246
355,50834
356,51064
357,49415
358,49141
359,48371
360,47887
361,47164
362,46766
363,45083
364,43854
365,43236
366,42150
367,41313
368,39727
369,38746
370,36460
371,34727
372,33542
373,32359
374,31403
375,29870
376,28613
377,27439
378,26654
379,25752
380,23622
381,23412
382,22607
383,21905
384,21114
385,20511
386,19857
387,19402
388,18857
389,18278
390,17769
391,17438
392,17233
393,16905
394,16641
395,16584
396,16603
397,16325
398,16485
399,16086
400,16529
401,16659
402,16763
403,16935
404,17734
405,18269
406,18631
407,19196
408,20367
409,20999
410,21642
411,22756
412,23346
413,24410
414,25109
415,25871
416,26945
417,28026
418,29005
419,30118
420,33619
421,34810
422,35963
423,37036
424,38290
425,39382
426,40382
427,40930
428,41806
429,43267
430,44110
431,44750
432,45758
433,46499
434,46993
435,48210
436,48575
437,49375
438,49745
439,50111
440,50594
441,51008
442,51212
443,51305
444,51360
445,51434
446,52016
447,51665
448,52057
449,52147
450,51791
451,51712
452,51500
453,51132
454,50657
455,50308
456,50243
457,49807
458,49516
459,48525
460,47705
461,46949
462,46432
463,45241
464,44331
465,43114
466,41794
467,40809
468,39337
469,37793
470,36480
471,34812
472,33695
473,31253
474,29715
475,28616
476,27635
477,26766
478,25329
479,24594
480,24265
481,23320
482,23207
483,21830
484,21155
485,20479
486,19952
487,19336
488,18738
489,18414
490,17875
491,258
492,17600
493,17004
494,16973
495,16653
496,16794
497,16367
498,16408
499,16149
500,16210
501,16388
502,16374
503,16651
504,17061
505,17253
506,17214
507,17357
508,17856
509,18511
510,18936
511,19821
512,20148
513,20999
514,21616
515,22253
516,23047
517,23738
518,24680
519,25584
520,27495
521,28490
522,29686
523,30806
524,32030
525,33155
526,34241
527,35358
528,36948
529,38992
530,39709
531,41122
532,42244
533,43823
534,44582
535,44829
536,45811
537,46992
538,47436
539,48207
540,48906
541,49143
542,49476
543,50158
544,50843
545,51121
546,51642
547,51677
548,51557
549,51670
550,51874
551,52010
552,51955
553,51959
554,51485
555,51407
556,51096
557,50811
558,50806
559,50498
560,49594
561,48796
562,47988
563,47691
564,46109
565,45469
566,44816
567,43388
568,42644
569,41216
570,40232
571,38962
572,37822
573,36595
574,35316
575,34537
576,33021
577,31306
578,29714
579,28583
580,27194
581,25699
582,25096
583,23852
584,22926
585,21829
586,21051
587,20160
588,19404
589,18565
590,18177
591,17800
592,17505
593,17303
594,16918
595,16895
596,16395
597,16435
598,16145
599,16395
600,16378
601,16591
602,16528
603,17001
604,17004
605,17307
606,17489
607,18444
608,18836
609,19575
610,21425
611,22052
612,22719
613,23494
614,24256
615,25198
616,26069
617,28118
618,29062
619,30236
620,31661
621,33103
622,34185
623,35253
624,36718
625,37758
626,39455
627,40748
628,41924
629,42951
630,43292
631,44131
632,45232
633,46187
634,47262
635,47764
636,48434
637,48982
638,49391
639,49927
640,50355
641,50906
642,51129
643,51337
644,51749
645,51804
646,52046
647,51653
648,51609
649,51752
650,51717
651,51218
652,51097
653,50773
654,50336
655,49894
656,49345
657,48700
658,47919
659,47204
660,45936
661,45132
662,44359
663,43046
664,42175
665,41811
666,40706
667,39164
668,38050
669,35945
670,34233
671,33047
672,31799
673,31488
674,29356
675,28100
676,27646
677,26645
678,25274
679,24617
680,23373
681,22456
682,22198
683,21486
684,20434
685,19821
686,19148
687,18662
688,18135
689,17707
690,17263
691,17111
692,16744
693,16682
694,16493
695,16081
696,16079
697,16572
698,16903
699,17110
700,17320
701,17729
702,18106
703,18304
704,19023
705,19446
706,20053
707,21040
708,21604
709,22310
710,23592
711,24407
712,25576
713,26547
714,27117
715,28673
716,29481
717,31377
718,32419
719,33417
720,34318
721,35530
722,36968
723,38931
724,39940
725,40398
726,41386
727,42464
728,43082
729,44216
730,44778
731,45813
732,46340
733,47481
734,48520
735,49012
736,49189
737,49800
738,50562
739,50807
740,51194
741,51370
742,51759
743,51626
744,51722
745,52044
746,51984
747,52239
748,51865
749,51834
750,51638
751,51328
752,51086
753,51337
754,50100
755,50087
756,49732
757,48821
758,48450
759,47766
760,46795
761,45861
762,44758
763,43902
764,43561
765,42687
766,41493
767,40227
768,38890
769,37662
770,36367
771,35349
772,34076
773,33023
774,31399
775,30109
776,28930
777,28001
778,27356
779,26017
780,24733
781,24051
782,23731
783,22923
784,22276
785,21467
786,20767
787,20280
788,19351
789,18957
790,18164
791,17743
792,17121
793,16954
794,16906
795,16523
796,16796
797,16236
798,16329
799,16430
800,16291
801,16623
802,16795
803,16850
804,17134
805,17647
806,17877
807,18161
808,18491
809,19283
810,19942
811,20431
812,21351
813,21831
814,22584
815,23451
816,24318
817,25211
818,25858
819,26675
820,27649
821,28740
822,30342
823,31142
824,32034
825,33186
826,34116
827,35275
828,36795
829,37915
830,39324
831,40486
832,41215
833,42009
834,42772
835,43374
836,44199
837,45366
838,46214
839,47481
840,48027
841,48413
842,48990
843,49513
844,50003
845,50727
846,51544
847,51211
848,51746
849,51770
850,51783
851,51830
852,52125
853,51944
854,51927
855,52091
856,51551
857,51543
858,51525
859,51132
860,50724
861,50631
862,49522
863,49131
864,48828
865,48256
866,47616
867,47125
868,46776
869,46015
870,45204
871,43491
872,42552
873,41737
874,40704
875,39176
876,38403
877,37021
878,35827
879,34805
880,32877
881,31212
882,30099
883,29184
884,28036
885,27082
886,26085
887,25256
888,24478
889,23609
890,22801
891,22130
892,21513
893,20890
894,20709
895,20252
896,19582
897,18965
898,18735
899,18165
900,17861
901,17434
902,17219
903,17003
904,17045
905,16917
906,16525
907,16709
908,16599
909,16050
910,16203
911,16321
912,16480
913,17064
914,17351
915,17445
916,17630
917,17749
918,18439
919,18767
920,19398
921,19844
922,20719
923,21238
924,21845
925,22839
926,23355
927,24366
928,25030
929,25701
930,26320
931,26999
932,27857
933,29638
934,31465
935,32265
936,33707
937,35331
938,36914
939,38162
940,38906
941,40572
942,42468
943,43664
944,44600
945,45230
946,45736
947,45934
948,47850
949,48322
950,48863
951,49426
952,49870
953,50380
954,50704
955,51350
956,51604
957,51970
958,51658
959,52075
960,52085
961,51686
962,51720
963,51340
964,51402
965,51317
966,50972
967,50126
968,50123
969,49224
970,49153
971,48234
972,47404
973,46756
974,46368
975,45894
976,44777
977,43454
978,42772
979,41789
980,41392
981,40307
982,38776
983,38042
984,37198
985,35374
986,34352
987,33059
988,32108
989,30877
990,29670
991,28768
992,27499
993,27311
994,26243
995,24789
996,24137
997,23366
998,22375
999,21880
1000,21063
1001,20183
1002,19617
1003,18550
1004,18236
1005,17687
1006,17446
1007,16993
1008,16867
1009,16853
1010,16772
1011,16467
1012,16171
1013,16488
1014,16268
1015,16456
1016,16554
1017,16721
1018,17063
1019,17034
1020,17495
1021,17917
1022,18100
1023,18518
1024,19396
1025,20264
1026,21040
1027,21284
1028,23189
1029,24027
1030,24910
1031,26067
1032,27516
1033,28588
1034,30616
1035,32051
1036,33172
1037,34982
1038,35880
1039,36555
1040,37622
1041,38929
1042,40612
1043,42036
1044,42920
1045,44286
1046,45055
1047,45719
1048,46576
1049,46955
1050,48134
1051,48628
1052,49025
1053,49236
1054,50100
1055,50707
1056,51030
1057,51231
1058,51506
1059,51781
1060,51997
1061,51932
1062,51941
1063,51756
1064,51939
1065,51315
1066,51554
1067,51250
1068,50701
1069,50327
1070,50038
1071,49638
1072,48712
1073,48307
1074,47687
1075,46924
1076,46290
1077,45438
1078,43947
1079,43001
1080,41663
1081,40675
1082,39634
1083,38139
1084,36998
1085,36779
1086,35264
1087,33573
1088,31879
1089,30866
1090,29547
1091,28540
1092,26495
1093,25683
1094,23971
1095,23227
1096,22484
1097,21727
1098,20831
1099,20116
1100,19664
1101,19297
1102,17982
1103,17727
