Time;SPI (4,2,1,3)
0,000074055; (49);
0,000077165; (84);
0,000080265; (18);
0,000148290; (49);
0,000151385; (88);
0,000154480; (80);
0,000222880; (49);
0,000225980; (83);
0,000229085; (190);
0,000297135; (49);
0,000300220; (86);
0,000303305; (15);
0,000371625; (49);
0,000374725; (84);
0,000377830; (52);
0,000446335; (49);
0,000449445; (83);
0,000452565; (218);
0,000521065; (49);
0,000524155; (88);
0,000527250; (133);
0,000595505; (49);
0,000598625; (89);
0,000601740; (244);
0,000670480; (49);
0,000673595; (88);
0,000676695; (76);
0,000745150; (49);
0,000748255; (90);
0,000751355; (144);
0,000819380; (49);
0,000822475; (90);
0,000825565; (254);
0,000893890; (49);
0,000896995; (88);
0,000900095; (91);
0,000968350; (49);
0,000971445; (87);
0,000974545; (228);
0,001043020; (49);
0,001046130; (85);
0,001049250; (21);
0,001117910; (49);
0,001121030; (87);
0,001124150; (227);
0,001192730; (49);
0,001195835; (85);
0,001198925; (87);
0,001267295; (49);
0,001270415; (93);
0,001273525; (88);
0,001341985; (49);
0,001345075; (89);
0,001348160; (189);
0,001416285; (49);
0,001419380; (93);
0,001422470; (17);
0,001490380; (49);
0,001493465; (87);
0,001496550; (179);
0,001564710; (49);
0,001567810; (91);
0,001570905; (129);
0,001638995; (49);
0,001642085; (90);
0,001645180; (232);
0,001713480; (49);
0,001716585; (92);
0,001719695; (122);
0,001788515; (49);
0,001791645; (87);
0,001794770; (232);
0,001863385; (49);
0,001866495; (92);
0,001869600; (65);
0,001938130; (49);
0,001941250; (87);
0,001944380; (211);
0,002012855; (49);
0,002015950; (90);
0,002019050; (49);
0,002087340; (49);
0,002090435; (98);
0,002093535; (10);
0,002161410; (49);
0,002164485; (102);
0,002167570; (75);
0,002235735; (49);
0,002238830; (99);
0,002241930; (102);
0,002309835; (49);
0,002312910; (96);
0,002315985; (165);
0,002384205; (49);
0,002387305; (107);
0,002390400; (19);
0,002458975; (49);
0,002462095; (108);
0,002465200; (36);
0,002533945; (49);
0,002537045; (104);
0,002540140; (104);
0,002608565; (49);
0,002611685; (107);
0,002614805; (87);
0,002683635; (49);
0,002686740; (106);
0,002689850; (196);
0,002758235; (49);
0,002761325; (108);
0,002764410; (184);
0,002832400; (49);
0,002835485; (107);
0,002838580; (50);
0,002906905; (49);
0,002910005; (105);
0,002913120; (92);
0,002981295; (49);
0,002984385; (103);
0,002987480; (189);
0,003055860; (49);
0,003058980; (105);
0,003062090; (126);
0,003130875; (49);
0,003133990; (106);
0,003137135; (227);
0,003205875; (49);
0,003208985; (106);
0,003212090; (213);
0,003280630; (49);
0,003283750; (104);
0,003286865; (245);
0,003355200; (49);
0,003358285; (103);
0,003361370; (102);
0,003429650; (49);
0,003432755; (101);
0,003435865; (76);
0,003504045; (49);
0,003507140; (103);
0,003510230; (243);
0,003578650; (49);
0,003581770; (106);
0,003584880; (6);
0,003653100; (49);
0,003656195; (104);
0,003659285; (6);
0,003727755; (49);
0,003730870; (101);
0,003733980; (159);
0,003802825; (49);
0,003805950; (106);
0,003809085; (119);
0,003877770; (49);
0,003880875; (104);
0,003883975; (31);
0,003952505; (49);
0,003955640; (100);
0,003958760; (208);
0,004027235; (49);
0,004030335; (103);
0,004033435; (216);
0,004101720; (49);
0,004104820; (105);
0,004107920; (230);
0,004175780; (49);
0,004178860; (108);
0,004181940; (9);
0,004250105; (49);
0,004253205; (102);
0,004256310; (163);
0,004324390; (49);
0,004327485; (105);
0,004330575; (232);
0,004398885; (49);
0,004401990; (101);
0,004405090; (135);
0,004473910; (49);
0,004477040; (102);
0,004480165; (242);
0,004548610; (49);
0,004551695; (103);
0,004554780; (1);
0,004622870; (49);
0,004625980; (108);
0,004629090; (87);
0,004697610; (49);
0,004700695; (106);
0,004703785; (152);
0,004771890; (49);
0,004774975; (101);
0,004778055; (74);
0,004845755; (49);
0,004848820; (106);
0,004851905; (46);
0,004919960; (49);
0,004923055; (101);
0,004926145; (74);
0,004994385; (49);
0,004997490; (99);
0,005000590; (15);
0,005069130; (49);
0,005072245; (96);
0,005075355; (247);
0,005144125; (49);
0,005147270; (106);
0,005150380; (208);
0,005219015; (49);
0,005222115; (107);
0,005225225; (252);
0,005293790; (49);
0,005296915; (105);
0,005300050; (245);
0,005368980; (49);
0,005372090; (102);
0,005375190; (157);
0,005443535; (49);
0,005446620; (109);
0,005449705; (149);
0,005517880; (49);
0,005520980; (105);
0,005524080; (185);
0,005592820; (49);
0,005595935; (103);
0,005599075; (30);
0,005667620; (49);
0,005670725; (107);
0,005673825; (138);
0,005742545; (49);
0,005745680; (108);
0,005748805; (8);
0,005817745; (49);
0,005820860; (102);
0,005823990; (103);
0,005892410; (49);
0,005895490; (98);
0,005898575; (255);
0,005966665; (49);
0,005969780; (105);
0,005972880; (0);
0,006041455; (49);
0,006044560; (105);
0,006047655; (45);
0,006115945; (49);
0,006119045; (108);
0,006122140; (164);
0,006190005; (49);
0,006193090; (102);
0,006196175; (11);
0,006264335; (49);
0,006267440; (102);
0,006270530; (16);
0,006338425; (49);
0,006341500; (107);
0,006344585; (72);
0,006412805; (49);
0,006415905; (108);
0,006419010; (104);
0,006487580; (49);
0,006490695; (106);
0,006493820; (68);
0,006562560; (49);
0,006565665; (110);
0,006568765; (253);
0,006637170; (49);
0,006640290; (105);
0,006643410; (207);
0,006712180; (49);
0,006715275; (107);
0,006718375; (173);
0,006786595; (49);
0,006789680; (110);
0,006792760; (134);
0,006860580; (49);
0,006863665; (108);
0,006866760; (194);
0,006934990; (49);
0,006938080; (108);
0,006941185; (246);
0,007009400; (49);
0,007012490; (106);
0,007015595; (10);
0,007084055; (49);
0,007087170; (110);
0,007090290; (224);
0,007159010; (49);
0,007162135; (107);
0,007165255; (72);
0,007233860; (49);
0,007236960; (110);
0,007240055; (96);
0,007308435; (49);
0,007311545; (107);
0,007314655; (232);
0,007383120; (49);
0,007386210; (113);
0,007389295; (16);
0,007457425; (49);
0,007460515; (113);
0,007463610; (37);
0,007531325; (49);
0,007534400; (115);
0,007537475; (53);
0,007605470; (49);
0,007608560; (112);
0,007611655; (146);
0,007679765; (49);
0,007682865; (112);
0,007685970; (61);
0,007754330; (49);
0,007757440; (114);
0,007760545; (150);
0,007829240; (49);
0,007832360; (116);
0,007835480; (210);
0,007904090; (49);
0,007907185; (111);
0,007910285; (119);
0,007978685; (49);
0,007981805; (109);
0,007984935; (87);
0,008053700; (49);
0,008056790; (117);
0,008059895; (3);
0,008128120; (49);
0,008131205; (114);
0,008134290; (249);
0,008202120; (49);
0,008205195; (119);
0,008208285; (159);
0,008276505; (49);
0,008279590; (117);
0,008282665; (212);
0,008350625; (49);
0,008353730; (112);
0,008356820; (174);
0,008425360; (49);
0,008428485; (117);
0,008431605; (68);
0,008500495; (49);
0,008503625; (118);
0,008506760; (78);
0,008575210; (49);
0,008578295; (121);
0,008581380; (56);
0,008649460; (49);
0,008652560; (115);
0,008655660; (171);
0,008724245; (49);
0,008727370; (120);
0,008730480; (198);
0,008799405; (49);
0,008802530; (121);
0,008805670; (29);
0,008874350; (49);
0,008877460; (113);
0,008880565; (250);
0,008948985; (49);
0,008952085; (114);
0,008955185; (42);
0,009023340; (49);
0,009026430; (121);
0,009029525; (187);
0,009097995; (49);
0,009101105; (119);
0,009104215; (125);
0,009173000; (49);
0,009176115; (121);
0,009179255; (105);
0,009247865; (49);
0,009250975; (119);
0,009254075; (49);
0,009322650; (49);
0,009325785; (119);
0,009328910; (181);
0,009397765; (49);
0,009400875; (120);
0,009403985; (225);
0,009472365; (49);
0,009475450; (119);
0,009478540; (242);
0,009546530; (49);
0,009549615; (122);
0,009552700; (254);
0,009620950; (49);
0,009624065; (126);
0,009627165; (106);
0,009695350; (49);
0,009698445; (128);
0,009701535; (75);
0,009769930; (49);
0,009773040; (117);
0,009776150; (166);
0,009844865; (49);
0,009848000; (126);
0,009851120; (229);
0,009919720; (49);
0,009922820; (126);
0,009925915; (127);
0,009994325; (49);
0,009997440; (122);
0,010000565; (54);
0,010069315; (49);
0,010072420; (126);
0,010075520; (225);
0,010143835; (49);
0,010146945; (126);
0,010150050; (161);
0,010218080; (49);
0,010221175; (129);
0,010224275; (53);
0,010292660; (49);
0,010295765; (130);
0,010298865; (161);
0,010367055; (49);
0,010370150; (126);
0,010373245; (0);
0,010441645; (49);
0,010444755; (128);
0,010447870; (86);
0,010516650; (49);
0,010519780; (132);
0,010522905; (180);
0,010591670; (49);
0,010594770; (131);
0,010597880; (96);
0,010666420; (49);
0,010669540; (132);
0,010672660; (2);
0,010741130; (49);
0,010744235; (131);
0,010747325; (15);
0,010815620; (49);
0,010818725; (130);
0,010821815; (194);
0,010889695; (49);
0,010892775; (132);
0,010895860; (122);
0,010964090; (49);
0,010967195; (129);
0,010970285; (211);
0,011038195; (49);
0,011041270; (135);
0,011044345; (141);
0,011112560; (49);
0,011115665; (131);
0,011118760; (123);
0,011187425; (49);
0,011190545; (133);
0,011193665; (251);
0,011262245; (49);
0,011265345; (138);
0,011268445; (28);
0,011336820; (49);
0,011339940; (137);
0,011343050; (180);
0,011411500; (49);
0,011414590; (136);
0,011417685; (162);
0,011485810; (49);
0,011488905; (138);
0,011492000; (10);
0,011559910; (49);
0,011562995; (140);
0,011566080; (91);
0,011634240; (49);
0,011637335; (136);
0,011640435; (24);
0,011708465; (49);
0,011711550; (139);
0,011714635; (100);
0,011782930; (49);
0,011786040; (141);
0,011789155; (136);
0,011857895; (49);
0,011861010; (142);
0,011864140; (220);
0,011933045; (49);
0,011936160; (142);
0,011939270; (165);
0,012007790; (49);
0,012010910; (142);
0,012014015; (115);
0,012082360; (49);
0,012085445; (139);
0,012088530; (127);
0,012156825; (49);
0,012159925; (145);
