Time;SPI (1,2,3,4)
0,000049585; (49);
0,000052685; (186);
0,000055780; (155);
0,000124160; (49);
0,000127265; (185);
0,000130370; (154);
0,000199270; (49);
0,000202405; (182);
0,000205535; (140);
0,000274055; (49);
0,000277145; (181);
0,000280235; (235);
0,000348380; (49);
0,000351505; (168);
0,000354615; (132);
0,000423145; (49);
0,000426235; (150);
0,000429320; (67);
0,000497325; (49);
0,000500405; (141);
0,000503490; (137);
0,000571115; (49);
0,000574175; (116);
0,000577245; (128);
0,000645220; (49);
0,000648315; (108);
0,000651400; (9);
0,000719750; (49);
0,000722860; (92);
0,000725965; (152);
0,000794535; (49);
0,000797630; (85);
0,000800725; (150);
0,000869070; (49);
0,000872185; (77);
0,000875300; (83);
0,000944055; (49);
0,000947160; (63);
0,000950265; (96);
0,001018590; (49);
0,001021685; (61);
0,001024780; (54);
0,001092700; (49);
0,001095780; (61);
0,001098860; (58);
0,001167050; (49);
0,001170155; (62);
0,001173260; (105);
0,001241230; (49);
0,001244310; (62);
0,001247390; (111);
0,001315615; (49);
0,001318715; (70);
0,001321820; (115);
0,001390480; (49);
0,001393605; (76);
0,001396720; (122);
0,001465480; (49);
0,001468575; (92);
0,001471680; (102);
0,001540190; (49);
0,001543300; (98);
0,001546425; (11);
0,001615410; (49);
0,001618525; (110);
0,001621650; (222);
0,001690335; (49);
0,001693460; (123);
0,001696575; (40);
0,001764840; (49);
0,001767920; (143);
0,001771005; (156);
0,001839190; (49);
0,001842295; (148);
0,001845390; (45);
0,001913500; (49);
0,001916590; (164);
0,001919675; (18);
0,001988000; (49);
0,001991105; (170);
0,001994210; (222);
0,002062800; (49);
0,002065915; (173);
0,002069030; (244);
0,002137550; (49);
0,002140645; (180);
0,002143740; (104);
0,002212080; (49);
0,002215195; (193);
0,002218315; (210);
0,002287065; (49);
0,002290170; (189);
0,002293275; (246);
0,002361680; (49);
0,002364790; (188);
0,002367900; (252);
0,002436000; (49);
0,002439090; (188);
0,002442170; (12);
0,002510355; (49);
0,002513455; (181);
0,002516560; (168);
0,002584650; (49);
0,002587745; (163);
0,002590840; (40);
0,002659235; (49);
0,002662340; (135);
0,002665445; (103);
0,002734040; (49);
0,002737155; (128);
0,002740275; (229);
0,002808780; (49);
0,002811870; (118);
0,002814965; (165);
0,002883300; (49);
0,002886425; (106);
0,002889540; (129);
0,002958280; (49);
0,002961385; (87);
0,002964485; (141);
0,003032900; (49);
0,003036005; (89);
0,003039120; (119);
0,003107215; (49);
0,003110305; (69);
0,003113390; (113);
0,003181740; (49);
0,003184845; (70);
0,003187960; (58);
0,003256080; (49);
0,003259175; (61);
0,003262260; (223);
