Time;SPI (1,2,3,4)
0,000098340; (49);
0,000101430; (255);
0,000104525; (255);
0,000111075; (50);
0,000114170; (197);
0,000117255; (29);
0,000249935; (49);
0,000253030; (141);
0,000256130; (236);
0,000262690; (50);
0,000265785; (204);
0,000268885; (100);
0,000401335; (49);
0,000404420; (154);
0,000407505; (254);
0,000414025; (50);
0,000417110; (215);
0,000420195; (201);
0,000552760; (49);
0,000555850; (166);
0,000558935; (64);
0,000565455; (50);
0,000568540; (195);
0,000571625; (211);
0,000704105; (49);
0,000707190; (137);
0,000710275; (83);
0,000716800; (50);
0,000719885; (171);
0,000722970; (40);
0,000855480; (49);
0,000858565; (113);
0,000861650; (138);
0,000868170; (50);
0,000871255; (138);
0,000874340; (7);
0,001006830; (49);
0,001009915; (91);
0,001013000; (134);
0,001019520; (50);
0,001022605; (105);
0,001025690; (68);
0,001158055; (49);
0,001161140; (46);
0,001164225; (152);
0,001170750; (50);
0,001173835; (75);
0,001176920; (109);
0,001309335; (49);
0,001312420; (141);
0,001315505; (28);
0,001322030; (50);
0,001325115; (51);
0,001328200; (251);
0,001460825; (49);
0,001463910; (161);
0,001466995; (57);
0,001473520; (50);
0,001476605; (46);
0,001479690; (220);
0,001612345; (49);
0,001615430; (164);
0,001618525; (145);
0,001625070; (50);
0,001628165; (60);
0,001631255; (162);
0,001763995; (49);
0,001767090; (201);
0,001770185; (18);
0,001776730; (50);
0,001779820; (84);
0,001782905; (220);
0,001915590; (49);
0,001918685; (225);
0,001921780; (137);
0,001928320; (50);
0,001931415; (116);
0,001934510; (142);
0,002067120; (49);
0,002070215; (255);
0,002073315; (255);
0,002079880; (50);
0,002082975; (150);
0,002086080; (189);
0,002219040; (49);
0,002222125; (255);
0,002225225; (255);
0,002231770; (50);
0,002234865; (169);
0,002237950; (225);
0,002370855; (49);
0,002373950; (247);
0,002377045; (162);
0,002383580; (50);
0,002386670; (194);
0,002389765; (69);
0,002522510; (49);
0,002525605; (255);
0,002528700; (255);
0,002535235; (50);
0,002538330; (207);
0,002541425; (253);
0,002674300; (49);
0,002677385; (137);
0,002680475; (5);
0,002687020; (50);
0,002690115; (205);
0,002693210; (200);
0,002825810; (49);
0,002828905; (82);
0,002831995; (250);
0,002838545; (50);
0,002841650; (190);
0,002844745; (76);
0,002977395; (49);
0,002980490; (119);
0,002983585; (37);
0,002990125; (50);
0,002993220; (169);
0,002996315; (245);
0,003129070; (49);
0,003132165; (97);
0,003135250; (96);
0,003141800; (50);
0,003144895; (122);
0,003148000; (105);
0,003280795; (49);
0,003283880; (48);
0,003286975; (210);
0,003293515; (50);
0,003296615; (90);
0,003299720; (69);
0,003432495; (49);
0,003435590; (71);
0,003438685; (94);
0,003445225; (50);
0,003448320; (64);
0,003451420; (36);
0,003584070; (49);
0,003587170; (66);
0,003590265; (67);
0,003596800; (50);
0,003599905; (54);
0,003602995; (151);
0,003735800; (49);
0,003738895; (78);
0,003741980; (138);
0,003748520; (50);
0,003751615; (48);
0,003754715; (237);
0,003887485; (49);
0,003890580; (71);
0,003893675; (33);
0,003900220; (50);
0,003903315; (60);
0,003906400; (241);
0,004039105; (49);
0,004042200; (97);
0,004045295; (95);
0,004051830; (50);
0,004054925; (89);
0,004058020; (190);
0,004190835; (49);
0,004193940; (131);
0,004197040; (39);
0,004203615; (50);
0,004206735; (125);
0,004209830; (57);
0,004342440; (49);
0,004345535; (180);
0,004348635; (85);
0,004355190; (50);
0,004358295; (160);
0,004361385; (238);
0,004493965; (49);
0,004497065; (197);
0,004500160; (23);
0,004506710; (50);
0,004509795; (191);
0,004512890; (75);
0,004645770; (49);
0,004648865; (243);
0,004651960; (253);
0,004658495; (50);
0,004661590; (209);
0,004664680; (232);
0,004797460; (49);
0,004800565; (242);
0,004803655; (209);
0,004810220; (50);
0,004813315; (216);
0,004816420; (54);
0,004949020; (49);
0,004952115; (255);
0,004955215; (255);
0,004961760; (50);
0,004964855; (212);
0,004967940; (175);
0,005100830; (49);
0,005103925; (247);
0,005107020; (1);
0,005113565; (50);
0,005116650; (181);
0,005119745; (118);
0,005252490; (49);
0,005255595; (200);
0,005258685; (209);
0,005265225; (50);
0,005268320; (147);
0,005271415; (27);
0,005404315; (49);
0,005407400; (181);
0,005410495; (224);
0,005417030; (50);
0,005420130; (113);
0,005423225; (38);
0,005555965; (49);
0,005559070; (138);
0,005562160; (143);
0,005568710; (50);
0,005571795; (84);
0,005574885; (245);
0,005707790; (49);
0,005710885; (123);
0,005713980; (188);
0,005720515; (50);
0,005723610; (57);
0,005726705; (206);
0,005859450; (49);
0,005862550; (124);
0,005865635; (179);
0,005872185; (50);
0,005875275; (50);
0,005878370; (251);
0,006011190; (49);
0,006014285; (132);
0,006017375; (232);
0,006023920; (50);
0,006027010; (51);
0,006030095; (44);
0,006162710; (49);
0,006165805; (121);
0,006168900; (104);
0,006175440; (50);
0,006178525; (74);
0,006181620; (146);
0,006314375; (49);
0,006317470; (176);
0,006320565; (6);
0,006327095; (50);
0,006330190; (108);
0,006333285; (121);
0,006466275; (49);
0,006469365; (207);
0,006472460; (86);
0,006479000; (50);
0,006482095; (135);
0,006485190; (22);
0,006618000; (49);
0,006621095; (219);
0,006624195; (193);
0,006630740; (50);
0,006633835; (171);
0,006636925; (143);
0,006769835; (49);
0,006772930; (255);
0,006776030; (255);
0,006782565; (50);
0,006785660; (193);
0,006788755; (254);
0,006921510; (49);
0,006924605; (166);
0,006927690; (195);
0,006934235; (50);
0,006937330; (212);
0,006940425; (120);
0,007073110; (49);
0,007076195; (204);
0,007079290; (251);
0,007085840; (50);
0,007088935; (216);
0,007092020; (8);
0,007224625; (49);
0,007227730; (201);
0,007230830; (184);
0,007237390; (50);
0,007240485; (197);
0,007243590; (239);
0,007376550; (49);
0,007379645; (182);
0,007382740; (250);
0,007389275; (50);
0,007392370; (164);
0,007395460; (14);
0,007528075; (49);
0,007531165; (132);
0,007534265; (126);
0,007540825; (50);
0,007543920; (134);
0,007547025; (42);
0,007679665; (49);
0,007682760; (124);
0,007685855; (7);
0,007692405; (50);
0,007695500; (105);
0,007698590; (100);
0,007831345; (49);
0,007834440; (92);
0,007837535; (18);
0,007844065; (50);
0,007847160; (68);
0,007850255; (217);
0,007983070; (49);
0,007986170; (113);
0,007989255; (131);
0,007995820; (50);
0,007998915; (42);
0,008002020; (124);
0,008134680; (49);
0,008137775; (84);
0,008140870; (10);
0,008147410; (50);
0,008150505; (43);
0,008153600; (248);
0,008286200; (49);
0,008289305; (105);
0,008292400; (248);
0,008298945; (50);
0,008302030; (58);
0,008305125; (216);
0,008437740; (49);
0,008440835; (120);
0,008443930; (248);
0,008450475; (50);
0,008453575; (83);
0,008456675; (51);
0,008589555; (49);
0,008592650; (152);
0,008595735; (186);
0,008602290; (50);
0,008605380; (100);
0,008608485; (80);
0,008741140; (49);
0,008744235; (158);
0,008747330; (207);
0,008753880; (50);
0,008756975; (142);
0,008760060; (174);
0,008892665; (49);
0,008895765; (223);
0,008898860; (183);
0,008905405; (50);
0,008908510; (178);
0,008911615; (192);
0,009044280; (49);
0,009047375; (247);
0,009050465; (214);
0,009057010; (50);
0,009060105; (200);
0,009063195; (254);
0,009195800; (49);
0,009198895; (255);
0,009201995; (255);
0,009208550; (50);
0,009211645; (209);
0,009214740; (207);
0,009347615; (49);
0,009350720; (135);
0,009353815; (212);
0,009360375; (50);
0,009363470; (193);
0,009366565; (133);
0,009499085; (49);
0,009502180; (33);
0,009505275; (252);
0,009511810; (50);
0,009514905; (178);
0,009518000; (32);
0,009650425; (49);
0,009653530; (85);
0,009656625; (236);
0,009663190; (50);
0,009666285; (161);
0,009669390; (194);
0,009801725; (49);
0,009804835; (73);
0,009807945; (68);
0,009814495; (50);
0,009817595; (126);
0,009820695; (110);
0,009953240; (49);
0,009956335; (83);
0,009959435; (219);
0,009965985; (50);
0,009969070; (92);
0,009972165; (8);
0,010104860; (49);
0,010107955; (125);
0,010111055; (219);
0,010117600; (50);
0,010120690; (60);
0,010123790; (13);
0,010256700; (49);
0,010259785; (115);
0,010262880; (232);
0,010269425; (50);
0,010272520; (32);
0,010275610; (82);
0,010408285; (49);
0,010411385; (78);
0,010414480; (216);
0,010421015; (50);
0,010424105; (49);
0,010427205; (3);
0,010560170; (49);
0,010563265; (123);
0,010566360; (18);
0,010572895; (50);
0,010575985; (55);
0,010579085; (146);
0,010711770; (49);
0,010714865; (151);
0,010717955; (63);
0,010724505; (50);
0,010727600; (86);
0,010730695; (206);
0,010863295; (49);
0,010866390; (203);
0,010869490; (236);
0,010876030; (50);
0,010879125; (122);
0,010882210; (80);
0,011015050; (49);
0,011018145; (230);
0,011021240; (193);
0,011027790; (50);
0,011030880; (162);
0,011033970; (253);
0,011167175; (49);
0,011170280; (255);
0,011173390; (255);
0,011179950; (50);
0,011183050; (178);
0,011186145; (66);
0,011319225; (49);
0,011322320; (255);
0,011325425; (255);
0,011331990; (50);
0,011335090; (204);
0,011338195; (168);
0,011471240; (49);
0,011474355; (255);
0,011477450; (255);
0,011484025; (50);
0,011487125; (213);
0,011490225; (125);
0,011623505; (49);
0,011626600; (137);
0,011629705; (39);
0,011636260; (50);
0,011639365; (188);
0,011642470; (253);
0,011775695; (49);
0,011778800; (92);
0,011781895; (115);
0,011788460; (50);
0,011791555; (168);
0,011794655; (187);
0,011927945; (49);
0,011931040; (79);
0,011934145; (216);
0,011940695; (50);
0,011943795; (136);
0,011946890; (203);
0,012080090; (49);
0,012083195; (160);
0,012086285; (21);
0,012092850; (50);
0,012095945; (109);
0,012099050; (114);
0,012232040; (49);
0,012235145; (144);
0,012238245; (18);
0,012244795; (50);
0,012247900; (80);
0,012250990; (120);
0,012384055; (49);
0,012387150; (131);
0,012390255; (97);
0,012396820; (50);
0,012399915; (65);
0,012403020; (155);
0,012536235; (49);
0,012539335; (124);
0,012542440; (22);
0,012548990; (50);
0,012552090; (41);
0,012555190; (43);
0,012688395; (49);
0,012691490; (133);
0,012694595; (14);
0,012701145; (50);
0,012704250; (50);
0,012707350; (206);
0,012840330; (49);
0,012843430; (176);
0,012846525; (46);
0,012853080; (50);
0,012856175; (75);
0,012859280; (13);
0,012992385; (49);
0,012995480; (209);
0,012998585; (53);
0,013005135; (50);
0,013008240; (102);
0,013011340; (204);
0,013144250; (49);
0,013147350; (221);
0,013150450; (75);
0,013157015; (50);
0,013160105; (140);
0,013163210; (73);
0,013296395; (49);
0,013299500; (255);
0,013302605; (255);
0,013309160; (50);
0,013312260; (171);
0,013315355; (98);
0,013448400; (49);
0,013451505; (255);
0,013454600; (255);
0,013461165; (50);
0,013464260; (202);
0,013467360; (13);
0,013600545; (49);
0,013603650; (255);
0,013606755; (255);
0,013613310; (50);
0,013616410; (211);
0,013619505; (19);
0,013752540; (49);
0,013755630; (247);
0,013758735; (191);
0,013765270; (50);
0,013768365; (210);
0,013771455; (85);
0,013904240; (49);
0,013907330; (107);
0,013910415; (195);
0,013916960; (50);
0,013920055; (195);
0,013923145; (24);
0,014055880; (49);
0,014058965; (71);
0,014062060; (205);
0,014068605; (50);
0,014071695; (175);
0,014074790; (205);
0,014207495; (49);
0,014210585; (64);
0,014213680; (117);
0,014220235; (50);
0,014223325; (133);
0,014226430; (143);
0,014359170; (49);
0,014362265; (53);
0,014365355; (78);
0,014371885; (50);
0,014374980; (99);
0,014378075; (94);
0,014510660; (49);
0,014513750; (59);
0,014516840; (225);
0,014523385; (50);
0,014526475; (77);
0,014529570; (82);
0,014662145; (49);
0,014665240; (75);
0,014668335; (16);
0,014674875; (50);
0,014677970; (59);
0,014681055; (72);
0,014813640; (49);
0,014816735; (121);
0,014819830; (148);
0,014826365; (50);
0,014829465; (52);
0,014832570; (240);
0,014965210; (49);
0,014968305; (130);
0,014971400; (78);
0,014977930; (50);
0,014981035; (62);
0,014984125; (29);
0,015116950; (49);
0,015120035; (151);
0,015123130; (183);
0,015129675; (50);
0,015132770; (76);
0,015135870; (217);
0,015268660; (49);
0,015271755; (158);
0,015274845; (1);
0,015281390; (50);
0,015284475; (102);
0,015287580; (171);
0,015420370; (49);
0,015423465; (199);
0,015426560; (127);
0,015433095; (50);
0,015436190; (145);
0,015439285; (225);
0,015572175; (49);
0,015575280; (240);
0,015578375; (166);
0,015584935; (50);
0,015588025; (177);
0,015591130; (171);
0,015723900; (49);
0,015727015; (111);
0,015730120; (198);
0,015736695; (50);
0,015739795; (205);
0,015742890; (85);
0,015875660; (49);
0,015878770; (111);
0,015881880; (57);
0,015888455; (50);
0,015891555; (215);
0,015894660; (101);
0,016027385; (49);
0,016030485; (116);
0,016033590; (126);
0,016040140; (50);
0,016043240; (211);
0,016046335; (52);
0,016178945; (49);
0,016182030; (110);
0,016185125; (132);
0,016191665; (50);
0,016194760; (195);
0,016197850; (77);
0,016330775; (49);
0,016333870; (101);
0,016336960; (52);
0,016343505; (50);
0,016346595; (161);
0,016349680; (101);
0,016482540; (49);
0,016485635; (56);
0,016488725; (161);
0,016495260; (50);
0,016498355; (124);
0,016501445; (117);
0,016634290; (49);
0,016637385; (80);
0,016640470; (193);
0,016647015; (50);
0,016650110; (89);
0,016653200; (206);
0,016785950; (49);
0,016789035; (52);
0,016792130; (219);
0,016798675; (50);
0,016801770; (68);
0,016804850; (19);
0,016937720; (49);
