Time;SPI (1,2,3,4)
0,000009730; (49);
0,000012840; (255);
0,000015955; (255);
0,000084460; (49);
0,000087565; (255);
0,000090670; (255);
0,000159115; (49);
0,000162210; (255);
0,000165295; (255);
0,000233570; (49);
0,000236690; (255);
0,000239805; (255);
0,000308560; (49);
0,000311665; (255);
0,000314780; (255);
0,000383285; (49);
0,000386395; (255);
0,000389515; (255);
0,000457720; (49);
0,000460815; (255);
0,000463910; (255);
0,000532360; (49);
0,000535480; (255);
0,000538585; (255);
0,000606835; (49);
0,000609920; (255);
0,000613015; (255);
0,000681450; (49);
0,000684550; (255);
0,000687680; (255);
0,000756180; (49);
0,000759285; (255);
0,000762390; (255);
0,000830820; (49);
0,000833905; (255);
0,000837000; (255);
0,000905290; (49);
0,000908405; (255);
0,000911515; (255);
0,000980285; (49);
0,000983390; (255);
0,000986505; (255);
0,001054995; (49);
0,001058110; (255);
0,001061225; (255);
0,001129435; (49);
0,001132530; (255);
0,001135615; (255);
0,001204055; (49);
0,001207175; (255);
0,001210295; (255);
0,001278515; (49);
0,001281610; (255);
0,001284695; (255);
0,001353110; (49);
0,001356240; (255);
0,001359350; (255);
0,001427600; (49);
0,001430695; (255);
0,001433785; (255);
0,001502055; (49);
0,001505140; (255);
0,001508230; (255);
0,001576355; (49);
0,001579460; (255);
0,001582570; (255);
0,001651160; (49);
0,001654265; (255);
0,001657360; (255);
0,001725745; (49);
0,001728860; (255);
0,001731975; (255);
0,001800185; (49);
0,001803270; (255);
0,001806365; (255);
0,001874875; (49);
0,001877990; (255);
0,001881110; (255);
0,001949340; (49);
0,001952430; (255);
0,001955525; (255);
0,002023925; (49);
0,002027055; (255);
0,002030170; (255);
0,002098675; (49);
0,002101780; (255);
0,002104895; (255);
0,002173330; (49);
0,002176415; (255);
0,002179510; (255);
0,002247795; (49);
0,002250905; (255);
0,002254005; (255);
0,002322775; (49);
0,002325890; (255);
0,002328995; (255);
0,002397500; (49);
0,002400615; (255);
0,002403730; (255);
0,002471930; (49);
0,002475025; (255);
0,002478115; (255);
0,002546570; (49);
0,002549690; (255);
0,002552790; (255);
0,002621025; (49);
0,002624125; (255);
0,002627210; (255);
0,002695645; (49);
0,002698760; (255);
0,002701870; (255);
0,002770370; (49);
0,002773470; (255);
0,002776585; (255);
0,002845020; (49);
0,002848115; (255);
0,002851210; (255);
0,002919475; (49);
0,002922590; (255);
0,002925710; (255);
0,002994470; (49);
0,002997575; (255);
0,003000680; (255);
0,003069230; (49);
0,003072345; (255);
0,003075475; (255);
0,003143830; (49);
0,003146920; (255);
0,003150005; (255);
0,003218295; (49);
0,003221395; (255);
0,003224500; (255);
0,003292570; (49);
0,003295655; (255);
0,003298740; (255);
0,003367075; (49);
0,003370180; (255);
0,003373290; (255);
0,003441500; (49);
0,003444595; (255);
0,003447685; (255);
0,003516095; (49);
0,003519210; (255);
0,003522310; (255);
0,003591110; (49);
0,003594235; (255);
0,003597380; (255);
0,003666020; (49);
0,003669125; (255);
0,003672230; (255);
0,003740815; (49);
0,003743945; (255);
0,003747075; (255);
0,003816025; (49);
0,003819130; (255);
0,003822235; (255);
0,003890665; (49);
0,003893765; (255);
0,003896865; (255);
0,003964905; (49);
0,003967990; (255);
0,003971075; (255);
0,004039345; (49);
0,004042455; (255);
0,004045560; (255);
0,004113645; (49);
0,004116730; (255);
0,004119815; (255);
0,004188140; (49);
0,004191245; (255);
0,004194350; (255);
0,004263155; (49);
0,004266295; (255);
0,004269425; (255);
0,004337895; (49);
0,004340975; (255);
0,004344060; (255);
0,004412175; (49);
0,004415280; (255);
0,004418385; (255);
0,004487000; (49);
0,004490100; (255);
0,004493215; (255);
0,004562165; (49);
0,004565295; (255);
0,004568445; (255);
0,004637150; (49);
0,004640255; (255);
0,004643360; (255);
0,004712115; (49);
0,004715250; (255);
0,004718380; (255);
0,004786950; (49);
0,004790055; (255);
0,004793160; (255);
0,004861575; (49);
0,004864675; (255);
0,004867760; (255);
0,004936075; (49);
0,004939200; (255);
0,004942295; (255);
0,005010975; (49);
0,005014070; (255);
0,005017175; (255);
0,005085610; (49);
0,005088725; (255);
0,005091855; (255);
0,005160680; (49);
0,005163785; (255);
0,005166900; (255);
0,005235360; (49);
0,005238475; (255);
0,005241580; (255);
0,005309625; (49);
0,005312720; (255);
0,005315815; (255);
0,005384160; (49);
0,005387265; (255);
0,005390370; (255);
0,005458455; (49);
0,005461530; (255);
0,005464625; (255);
0,005532955; (49);
0,005536060; (255);
0,005539165; (255);
0,005607570; (49);
0,005610675; (255);
0,005613780; (255);
0,005682210; (49);
0,005685300; (255);
0,005688385; (255);
0,005756505; (49);
0,005759610; (255);
0,005762720; (255);
0,005831270; (49);
0,005834365; (255);
0,005837450; (255);
0,005905600; (49);
0,005908695; (255);
0,005911780; (255);
0,005979710; (49);
0,005982795; (255);
0,005985885; (255);
0,006054070; (49);
0,006057170; (255);
0,006060265; (255);
0,006128190; (49);
0,006131270; (255);
0,006134345; (255);
0,006202590; (49);
0,006205685; (255);
0,006208780; (255);
0,006277455; (49);
0,006280570; (255);
0,006283700; (255);
0,006352000; (49);
0,006355080; (255);
0,006358155; (255);
0,006426100; (49);
0,006429205; (255);
0,006432300; (255);
