Time;SPI (1,2,3,4)
0,000014635; (49);
0,000017735; (75);
0,000020840; (221);
0,000089245; (49);
0,000092355; (86);
0,000095465; (109);
0,000163990; (49);
0,000167085; (89);
0,000170175; (236);
0,000238435; (49);
0,000241545; (102);
0,000244650; (199);
0,000313420; (49);
0,000316530; (120);
0,000319645; (38);
0,000388370; (49);
0,000391480; (130);
0,000394590; (63);
0,000463235; (49);
0,000466365; (150);
0,000469490; (89);
0,000538725; (49);
0,000541880; (158);
0,000545025; (232);
0,000614070; (49);
0,000617185; (173);
0,000620315; (152);
0,000688705; (49);
0,000691795; (187);
0,000694875; (38);
0,000763010; (49);
0,000766110; (194);
0,000769220; (32);
0,000837805; (49);
0,000840905; (198);
0,000844010; (32);
0,000912435; (49);
0,000915560; (185);
0,000918685; (177);
0,000987515; (49);
0,000990620; (130);
0,000993730; (166);
0,001062230; (49);
0,001065350; (136);
0,001068450; (21);
0,001136640; (49);
0,001139725; (129);
0,001142815; (42);
0,001211090; (49);
0,001214200; (120);
0,001217300; (128);
0,001285350; (49);
0,001288435; (118);
0,001291535; (7);
0,001359920; (49);
0,001363030; (102);
0,001366130; (132);
0,001434640; (49);
0,001437750; (94);
0,001440875; (137);
0,001509370; (49);
0,001512460; (81);
0,001515555; (181);
0,001583820; (49);
0,001586930; (68);
0,001590045; (153);
0,001658805; (49);
0,001661915; (55);
0,001665025; (160);
0,001733515; (49);
0,001736640; (52);
0,001739745; (226);
0,001807935; (49);
0,001811010; (44);
0,001814090; (112);
0,001882220; (49);
0,001885315; (40);
0,001888415; (79);
0,001956505; (49);
0,001959600; (42);
0,001962690; (99);
0,002031015; (49);
0,002034115; (45);
0,002037225; (144);
0,002105490; (49);
0,002108590; (50);
0,002111690; (245);
0,002180155; (49);
0,002183265; (50);
0,002186380; (72);
0,002255225; (49);
0,002258360; (59);
0,002261480; (97);
0,002329960; (49);
0,002333040; (75);
0,002336125; (18);
0,002404210; (49);
0,002407320; (85);
0,002410420; (159);
0,002478960; (49);
0,002482060; (86);
0,002485160; (84);
0,002553915; (49);
0,002557060; (108);
0,002560180; (223);
0,002628730; (49);
0,002631840; (124);
0,002634930; (28);
0,002703375; (49);
0,002706475; (138);
0,002709575; (192);
0,002777730; (49);
0,002780820; (148);
0,002783910; (24);
0,002852355; (49);
0,002855480; (159);
0,002858590; (189);
0,002927375; (49);
0,002930495; (176);
0,002933630; (170);
0,003002255; (49);
0,003005355; (178);
0,003008465; (105);
0,003077025; (49);
0,003080160; (187);
0,003083295; (126);
0,003152150; (49);
0,003155250; (189);
0,003158360; (179);
0,003226735; (49);
0,003229830; (187);
0,003232920; (126);
0,003300910; (49);
0,003303990; (185);
0,003307075; (47);
0,003375345; (49);
0,003378445; (179);
0,003381555; (169);
0,003449750; (49);
0,003452845; (174);
0,003455935; (63);
0,003524325; (49);
0,003527450; (158);
0,003530570; (125);
0,003599310; (49);
0,003602425; (146);
0,003605550; (211);
0,003674025; (49);
0,003677125; (137);
0,003680225; (123);
0,003748635; (49);
0,003751760; (119);
0,003754880; (234);
0,003823720; (49);
0,003826830; (108);
0,003829930; (220);
0,003898370; (49);
0,003901470; (93);
0,003904570; (211);
0,003972590; (49);
0,003975670; (83);
0,003978765; (185);
0,004047090; (49);
0,004050200; (72);
0,004053310; (180);
0,004121380; (49);
0,004124465; (66);
0,004127550; (135);
0,004195795; (49);
0,004198895; (60);
0,004202005; (81);
0,004270715; (49);
0,004273825; (59);
0,004276945; (182);
0,004345565; (49);
0,004348665; (64);
0,004351765; (135);
0,004420195; (49);
0,004423315; (63);
0,004426425; (235);
0,004495280; (49);
0,004498380; (74);
0,004501490; (148);
0,004569880; (49);
0,004572970; (85);
0,004576065; (194);
0,004644055; (49);
0,004647145; (93);
0,004650240; (91);
0,004718575; (49);
0,004721685; (103);
0,004724785; (105);
0,004792850; (49);
0,004795935; (112);
0,004799025; (153);
0,004867340; (49);
0,004870450; (127);
0,004873550; (14);
0,004942365; (49);
0,004945510; (146);
0,004948630; (235);
0,005017090; (49);
0,005020170; (155);
0,005023255; (243);
0,005091355; (49);
0,005094465; (164);
0,005097575; (71);
0,005166260; (49);
0,005169390; (178);
0,005172510; (84);
0,005241775; (49);
0,005244930; (186);
0,005248075; (210);
0,005317075; (49);
0,005320200; (190);
0,005323310; (3);
0,005391660; (49);
0,005394745; (196);
0,005397825; (25);
0,005465975; (49);
0,005469075; (199);
0,005472185; (103);
0,005540915; (49);
0,005544050; (195);
0,005547170; (64);
0,005615850; (49);
0,005618970; (193);
0,005622080; (43);
0,005690480; (49);
0,005693565; (186);
0,005696645; (176);
0,005764765; (49);
0,005767865; (168);
0,005770975; (97);
0,005839670; (49);
0,005842805; (154);
0,005845915; (62);
0,005914980; (49);
0,005918125; (144);
0,005921245; (171);
0,005989920; (49);
0,005993010; (133);
0,005996100; (151);
0,006064170; (49);
0,006067255; (118);
0,006070325; (244);
0,006138000; (49);
0,006141075; (102);
0,006144145; (248);
0,006212220; (49);
0,006215310; (94);
0,006218400; (211);
0,006286695; (49);
0,006289805; (84);
0,006292920; (139);
0,006361575; (49);
0,006364675; (70);
0,006367775; (38);
0,006436210; (49);
0,006439335; (67);
0,006442450; (216);
0,006511360; (49);
0,006514480; (68);
0,006517580; (44);
0,006586255; (49);
0,006589370; (75);
0,006592490; (147);
0,006660840; (49);
0,006663925; (71);
0,006667005; (117);
0,006735290; (49);
0,006738390; (78);
0,006741500; (154);
0,006809555; (49);
0,006812640; (85);
0,006815730; (138);
0,006884055; (49);
0,006887155; (99);
0,006890265; (176);
0,006958520; (49);
0,006961615; (105);
0,006964715; (214);
0,007033050; (49);
0,007036130; (124);
0,007039225; (199);
0,007107330; (49);
0,007110440; (139);
0,007113540; (50);
0,007182135; (49);
0,007185235; (153);
0,007188335; (37);
0,007256715; (49);
0,007259825; (164);
0,007262935; (167);
0,007331130; (49);
0,007334220; (181);
0,007337310; (8);
0,007405750; (49);
0,007408860; (186);
0,007411965; (45);
0,007480195; (49);
0,007483285; (187);
0,007486375; (250);
0,007554860; (49);
0,007557970; (196);
0,007561090; (133);
0,007629635; (49);
0,007632750; (198);
0,007635855; (236);
0,007704290; (49);
0,007707385; (199);
0,007710475; (82);
0,007778755; (49);
0,007781865; (192);
0,007784965; (23);
0,007853740; (49);
0,007856845; (189);
0,007859955; (32);
0,007928445; (49);
0,007931550; (181);
0,007934660; (97);
0,008002850; (49);
0,008005945; (172);
0,008009025; (32);
0,008077300; (49);
0,008080405; (156);
0,008083510; (40);
0,008151565; (49);
0,008154655; (148);
0,008157735; (120);
0,008226060; (49);
0,008229170; (133);
0,008232270; (200);
0,008300775; (49);
0,008303895; (114);
0,008307015; (236);
0,008375510; (49);
0,008378600; (107);
0,008381690; (74);
0,008449970; (49);
0,008453080; (93);
0,008456195; (229);
0,008524935; (49);
0,008528045; (83);
0,008531145; (167);
0,008599645; (49);
0,008602755; (71);
0,008605880; (242);
0,008674060; (49);
0,008677160; (74);
0,008680250; (43);
0,008748685; (49);
0,008751795; (67);
0,008754920; (83);
0,008823140; (49);
0,008826230; (69);
0,008829330; (77);
0,008897800; (49);
0,008900925; (73);
0,008904035; (7);
0,008972270; (49);
0,008975365; (83);
0,008978455; (220);
0,009046705; (49);
0,009049790; (98);
0,009052870; (232);
0,009120985; (49);
0,009124085; (102);
0,009127195; (17);
0,009195890; (49);
0,009199010; (118);
0,009202140; (2);
0,009271280; (49);
0,009274405; (132);
0,009277540; (154);
0,009346355; (49);
0,009349445; (148);
0,009352545; (88);
0,009420815; (49);
0,009423905; (160);
