Time;SPI (1,2,3,4)
0,000030220; (49);
0,000033335; (140);
0,000036435; (239);
0,000105235; (49);
0,000108355; (158);
0,000111485; (18);
0,000180120; (49);
0,000183225; (182);
0,000186335; (34);
0,000254865; (49);
0,000257990; (201);
0,000261105; (84);
0,000329745; (49);
0,000332840; (214);
0,000335940; (160);
0,000404185; (49);
0,000407290; (232);
0,000410380; (161);
0,000478240; (49);
0,000481320; (245);
0,000484400; (229);
0,000552555; (49);
0,000555655; (249);
0,000558750; (67);
0,000626655; (49);
0,000629735; (252);
0,000632815; (43);
0,000701020; (49);
0,000704120; (254);
0,000707215; (194);
0,000775880; (49);
0,000778995; (249);
0,000782120; (42);
0,000850410; (49);
0,000853480; (243);
0,000856560; (108);
0,000924475; (49);
0,000927585; (230);
0,000930680; (42);
0,000999185; (49);
0,001002300; (215);
0,001005425; (47);
0,001074495; (49);
0,001077640; (194);
0,001080780; (234);
0,001149640; (49);
0,001152765; (173);
0,001155865; (10);
0,001224605; (49);
0,001227710; (157);
0,001230815; (43);
0,001299385; (49);
0,001302510; (137);
0,001305625; (1);
0,001374280; (49);
0,001377380; (119);
0,001380485; (37);
0,001448920; (49);
0,001452045; (94);
0,001455160; (255);
0,001523900; (49);
0,001527000; (81);
0,001530105; (149);
0,001598505; (49);
0,001601630; (73);
0,001604760; (58);
0,001673600; (49);
0,001676705; (62);
0,001679810; (234);
0,001748260; (49);
0,001751365; (67);
0,001754475; (149);
0,001822505; (49);
0,001825585; (66);
0,001828675; (234);
0,001896945; (49);
0,001900050; (69);
0,001903155; (234);
0,001971215; (49);
0,001974295; (78);
0,001977380; (46);
0,002045615; (49);
0,002048720; (90);
0,002051825; (170);
0,002120470; (49);
0,002123585; (110);
0,002126710; (111);
0,002195375; (49);
0,002198485; (123);
0,002201580; (43);
0,002270010; (49);
0,002273125; (143);
0,002276250; (4);
0,002345015; (49);
0,002348115; (167);
0,002351220; (202);
0,002419585; (49);
0,002422700; (186);
0,002425805; (46);
0,002494140; (49);
0,002497235; (200);
0,002500340; (150);
0,002568935; (49);
0,002572050; (217);
0,002575165; (114);
0,002643545; (49);
0,002646640; (236);
0,002649740; (10);
0,002718145; (49);
0,002721265; (247);
0,002724370; (151);
0,002792855; (49);
0,002795965; (253);
0,002799070; (42);
0,002867495; (49);
0,002870590; (255);
0,002873675; (255);
0,002941940; (49);
0,002945050; (255);
0,002948165; (255);
0,003016920; (49);
0,003020025; (251);
0,003023130; (0);
0,003091635; (49);
0,003094740; (240);
0,003097855; (105);
0,003166035; (49);
0,003169125; (228);
0,003172215; (133);
0,003240475; (49);
0,003243580; (212);
0,003246685; (0);
0,003314730; (49);
0,003317820; (193);
0,003320910; (169);
0,003389215; (49);
0,003392320; (172);
0,003395425; (72);
0,003463930; (49);
0,003467045; (148);
0,003470160; (125);
0,003538660; (49);
0,003541750; (129);
0,003544835; (85);
0,003613110; (49);
0,003616225; (109);
0,003619340; (149);
0,003688100; (49);
0,003691205; (97);
0,003694315; (37);
0,003762835; (49);
0,003765960; (82);
0,003769075; (57);
0,003837425; (49);
0,003840520; (72);
0,003843610; (137);
0,003912045; (49);
0,003915160; (69);
0,003918275; (86);
0,003986475; (49);
0,003989580; (65);
0,003992665; (80);
0,004061150; (49);
0,004064265; (68);
0,004067380; (18);
0,004135740; (49);
0,004138835; (71);
0,004141935; (234);
0,004210270; (49);
0,004213350; (83);
0,004216435; (33);
0,004284545; (49);
0,004287650; (98);
0,004290760; (237);
0,004359275; (49);
0,004362360; (112);
0,004365460; (151);
0,004433660; (49);
0,004436765; (126);
0,004439870; (69);
0,004508245; (49);
0,004511345; (146);
0,004514440; (74);
0,004583030; (49);
0,004586155; (172);
0,004589270; (173);
0,004657650; (49);
0,004660750; (187);
0,004663845; (247);
0,004732430; (49);
0,004735555; (208);
0,004738670; (42);
0,004807075; (49);
0,004810170; (226);
0,004813270; (242);
0,004881675; (49);
0,004884780; (243);
0,004887865; (160);
0,004956140; (49);
0,004959255; (250);
0,004962360; (173);
0,005031125; (49);
0,005034230; (255);
0,005037335; (255);
0,005105825; (49);
0,005108940; (255);
0,005112045; (251);
0,005180225; (49);
0,005183320; (255);
0,005186410; (149);
0,005254840; (49);
0,005257955; (248);
0,005261070; (52);
0,005329260; (49);
0,005332355; (232);
0,005335455; (138);
0,005403865; (49);
0,005406980; (222);
0,005410095; (245);
0,005478445; (49);
0,005481540; (205);
0,005484640; (74);
0,005552970; (49);
0,005556060; (183);
