Time;SPI (1,2,3,4)
0,000053915; (49);
0,000057015; (181);
0,000060125; (170);
0,000128610; (49);
0,000131725; (181);
0,000134845; (52);
0,000203285; (49);
0,000206385; (181);
0,000209485; (122);
0,000277670; (49);
0,000280755; (178);
0,000283835; (106);
0,000351620; (49);
0,000354695; (169);
0,000357775; (0);
0,000425885; (49);
0,000428980; (159);
0,000432080; (137);
0,000500440; (49);
0,000503550; (146);
0,000506655; (75);
0,000575185; (49);
0,000578280; (135);
0,000581370; (247);
0,000649590; (49);
0,000652700; (118);
0,000655820; (36);
0,000724435; (49);
0,000727530; (110);
0,000730630; (146);
0,000798950; (49);
0,000802065; (100);
0,000805175; (250);
0,000873460; (49);
0,000876560; (95);
0,000879655; (161);
0,000948200; (49);
0,000951320; (90);
0,000954440; (20);
0,001022770; (49);
0,001025870; (83);
0,001028965; (186);
0,001097495; (49);
0,001100620; (75);
0,001103725; (164);
0,001172220; (49);
0,001175320; (72);
0,001178430; (42);
0,001246825; (49);
0,001249925; (76);
0,001253025; (239);
0,001321400; (49);
0,001324510; (74);
0,001327635; (82);
0,001396340; (49);
0,001399440; (80);
0,001402540; (140);
0,001470850; (49);
0,001473970; (83);
0,001477080; (164);
0,001545375; (49);
0,001548465; (95);
0,001551570; (127);
0,001620125; (49);
0,001623230; (107);
0,001626360; (12);
0,001694690; (49);
0,001697785; (119);
0,001700885; (222);
0,001769410; (49);
0,001772530; (128);
0,001775640; (74);
0,001844120; (49);
0,001847230; (150);
0,001850340; (32);
0,001918740; (49);
0,001921830; (155);
0,001924930; (210);
0,001993310; (49);
0,001996435; (163);
0,001999550; (217);
0,002068330; (49);
0,002071440; (171);
0,002074540; (109);
0,002143025; (49);
0,002146145; (175);
0,002149275; (196);
0,002217720; (49);
0,002220820; (181);
0,002223910; (47);
0,002292130; (49);
0,002295220; (183);
0,002298315; (2);
0,002366135; (49);
0,002369210; (181);
0,002372290; (0);
0,002440475; (49);
0,002443580; (180);
0,002446680; (213);
0,002514910; (49);
0,002518010; (179);
0,002521120; (5);
0,002589485; (49);
0,002592570; (166);
0,002595650; (218);
0,002663710; (49);
0,002666820; (157);
0,002669920; (101);
0,002738570; (49);
0,002741685; (144);
0,002744825; (138);
0,002814030; (49);
0,002817185; (130);
0,002820330; (210);
0,002889275; (49);
0,002892375; (121);
0,002895480; (160);
0,002963860; (49);
0,002966950; (111);
0,002970050; (36);
0,003038025; (49);
0,003041110; (106);
0,003044190; (111);
0,003112470; (49);
0,003115575; (93);
0,003118685; (235);
0,003186900; (49);
0,003190000; (87);
0,003193090; (234);
0,003261390; (49);
0,003264470; (66);
0,003267555; (165);
0,003335620; (49);
0,003338720; (58);
0,003341825; (234);
0,003410285; (49);
0,003413375; (56);
0,003416465; (170);
0,003484670; (49);
0,003487780; (60);
0,003490890; (45);
0,003559590; (49);
0,003562715; (76);
0,003565825; (138);
0,003634545; (49);
0,003637650; (83);
0,003640770; (202);
0,003709200; (49);
0,003712300; (82);
0,003715410; (202);
0,003783935; (49);
0,003787055; (97);
0,003790170; (165);
0,003858520; (49);
0,003861620; (110);
0,003864720; (123);
0,003932925; (49);
0,003936010; (124);
0,003939090; (171);
0,004007160; (49);
0,004010260; (127);
0,004013365; (138);
0,004082015; (49);
0,004085145; (133);
0,004088270; (125);
0,004157275; (49);
0,004160415; (149);
0,004163540; (187);
0,004232165; (49);
0,004235255; (155);
0,004238355; (232);
0,004306930; (49);
0,004310035; (183);
0,004313155; (138);
0,004381495; (49);
0,004384585; (187);
0,004387695; (110);
0,004456300; (49);
0,004459420; (168);
0,004462525; (201);
0,004530885; (49);
0,004533985; (176);
0,004537075; (175);
0,004605585; (49);
0,004608705; (175);
0,004611825; (106);
0,004680675; (49);
0,004683820; (170);
0,004686930; (43);
0,004755520; (49);
0,004758620; (182);
0,004761720; (221);
0,004830270; (49);
0,004833390; (174);
0,004836525; (250);
0,004905400; (49);
0,004908505; (162);
0,004911610; (251);
0,004980050; (49);
0,004983170; (148);
0,004986275; (208);
0,005054420; (49);
0,005057515; (136);
0,005060610; (234);
0,005128995; (49);
0,005132105; (123);
0,005135215; (53);
0,005203400; (49);
0,005206490; (95);
0,005209580; (213);
0,005278020; (49);
0,005281130; (88);
0,005284240; (97);
0,005352850; (49);
0,005355985; (78);
0,005359100; (68);
0,005427655; (49);
0,005430750; (87);
0,005433850; (234);
0,005502245; (49);
0,005505365; (88);
0,005508485; (253);
0,005577355; (49);
0,005580475; (68);
0,005583585; (171);
0,005652180; (49);
0,005655305; (58);
0,005658425; (84);
0,005726735; (49);
0,005729820; (55);
0,005732900; (190);
0,005801135; (49);
0,005804235; (59);
0,005807340; (213);
0,005875490; (49);
0,005878580; (76);
0,005881665; (222);
0,005950040; (49);
0,005953150; (91);
0,005956260; (114);
0,006024765; (49);
0,006027875; (108);
0,006030995; (215);
0,006099435; (49);
0,006102530; (115);
0,006105620; (180);
0,006173840; (49);
0,006176955; (127);
0,006180065; (117);
0,006248695; (49);
0,006251795; (139);
0,006254895; (126);
0,006323225; (49);
0,006326335; (154);
0,006329445; (245);
0,006397810; (49);
0,006400900; (163);
0,006404000; (183);
0,006472550; (49);
0,006475685; (169);
0,006478800; (93);
0,006547130; (49);
0,006550220; (179);
0,006553320; (20);
0,006621855; (49);
0,006624970; (181);
0,006628090; (21);
0,006696570; (49);
0,006699670; (181);
0,006702780; (186);
0,006771175; (49);
0,006774275; (186);
0,006777365; (84);
0,006845765; (49);
0,006848880; (185);
0,006851985; (150);
0,006920780; (49);
0,006923880; (184);
0,006926990; (134);
0,006995480; (49);
0,006998600; (178);
0,007001720; (43);
0,007070160; (49);
0,007073260; (167);
0,007076350; (87);
0,007144570; (49);
0,007147660; (158);
0,007150745; (113);
0,007218560; (49);
0,007221635; (142);
0,007224735; (213);
0,007292935; (49);
0,007296015; (124);
0,007299095; (219);
0,007366895; (49);
0,007369965; (118);
0,007373040; (74);
0,007441235; (49);
0,007444310; (106);
0,007447385; (202);
0,007515285; (49);
0,007518380; (99);
0,007521480; (21);
0,007589950; (49);
0,007593065; (89);
0,007596195; (181);
0,007665240; (49);
0,007668385; (84);
0,007671525; (138);
0,007740320; (49);
0,007743425; (80);
0,007746530; (106);
0,007815240; (49);
0,007818355; (75);
0,007821485; (68);
0,007889985; (49);
0,007893095; (76);
0,007896185; (149);
0,007964725; (49);
0,007967845; (78);
0,007970950; (245);
0,008039300; (49);
0,008042405; (77);
0,008045495; (172);
0,008114015; (49);
0,008117135; (83);
0,008120255; (40);
0,008189220; (49);
0,008192345; (98);
0,008195495; (22);
0,008264240; (49);
0,008267350; (104);
0,008270460; (175);
0,008339155; (49);
0,008342290; (119);
0,008345425; (182);
0,008414465; (49);
0,008417575; (126);
0,008420690; (45);
0,008489220; (49);
0,008492320; (144);
0,008495430; (21);
0,008563570; (49);
0,008566660; (151);
0,008569760; (69);
0,008638205; (49);
0,008641320; (159);
0,008644430; (148);
0,008712605; (49);
0,008715705; (164);
0,008718795; (68);
0,008787230; (49);
0,008790340; (172);
0,008793450; (77);
0,008862120; (49);
0,008865250; (176);
0,008868375; (170);
0,008937100; (49);
0,008940200; (181);
0,008943300; (181);
0,009011820; (49);
0,009014935; (181);
0,009018055; (170);
0,009086495; (49);
0,009089590; (181);
0,009092690; (174);
0,009161005; (49);
0,009164120; (178);
0,009167230; (181);
0,009235655; (49);
0,009238765; (166);
0,009241855; (201);
0,009310405; (49);
0,009313525; (158);
0,009316655; (105);
0,009384980; (49);
0,009388080; (147);
0,009391160; (245);
0,009459540; (49);
0,009462650; (133);
0,009465760; (68);
0,009533950; (49);
0,009537050; (121);
0,009540130; (164);
0,009608485; (49);
0,009611595; (112);
0,009614715; (26);
0,009683515; (49);
0,009686640; (105);
0,009689770; (107);
0,009758355; (49);
0,009761465; (91);
0,009764565; (138);
0,009833020; (49);
0,009836140; (83);
0,009839250; (187);
0,009907540; (49);
0,009910635; (83);
0,009913735; (53);
0,009982285; (49);
0,009985405; (78);
0,009988530; (235);
0,010056855; (49);
0,010059950; (74);
0,010063050; (105);
0,010131580; (49);
0,010134710; (68);
0,010137830; (21);
0,010206175; (49);
0,010209265; (76);
0,010212365; (255);
0,010280745; (49);
0,010283835; (81);
0,010286930; (106);
0,010355155; (49);
0,010358275; (88);
0,010361380; (74);
0,010430095; (49);
0,010433205; (96);
0,010436315; (234);
0,010504810; (49);
0,010507930; (108);
0,010511050; (181);
0,010579355; (49);
0,010582445; (120);
0,010585540; (200);
0,010653940; (49);
0,010657050; (130);
0,010660155; (202);
0,010728320; (49);
0,010731410; (146);
0,010734505; (129);
0,010802870; (49);
0,010805980; (154);
0,010809100; (8);
0,010877280; (49);
0,010880375; (162);
0,010883465; (199);
0,010951810; (49);
0,010954930; (171);
0,010958035; (86);
0,011026965; (49);
0,011030105; (174);
0,011033230; (141);
0,011101805; (49);
0,011104900; (181);
0,011107990; (123);
0,011176210; (49);
0,011179320; (179);
0,011182425; (164);
0,011251000; (49);
0,011254090; (188);
0,011257180; (138);
0,011325235; (49);
0,011328320; (182);
0,011331400; (181);
0,011399060; (49);
0,011402125; (178);
0,011405215; (242);
0,011473260; (49);
0,011476335; (172);
