Index;ECG
0;-1010,685000
1;-546,195000
2;-2058,615000
3;-119,340000
4;-442,455000
5;-220,740000
6;-178,815000
7;-104,130000
8;-270,075000
9;-316,095000
10;-149,175000
11;-56,550000
12;-112,320000
13;-49,335000
14;-233,805000
15;49,920000
16;-21,060000
17;-1728,480000
18;60,060000
19;-184,665000
20;132,795000
21;228,735000
22;338,325000
23;350,610000
24;156,585000
25;267,150000
26;127,530000
27;-220,545000
28;324,090000
29;360,555000
30;366,600000
31;414,960000
32;497,445000
33;341,640000
34;-1200,420000
35;656,565000
36;628,485000
37;724,230000
38;881,595000
39;356,070000
40;783,510000
41;875,940000
42;709,605000
43;871,650000
44;661,635000
45;935,415000
46;1003,080000
47;1075,230000
48;1260,675000
49;1060,215000
50;-334,230000
51;1254,045000
52;1388,985000
53;1465,230000
54;1392,690000
55;1557,855000
56;1402,635000
57;1739,790000
58;1752,855000
59;1418,430000
60;1782,300000
61;1785,030000
62;1965,600000
63;1844,895000
64;1802,580000
65;230,880000
66;1954,680000
67;1778,400000
68;1954,485000
69;1982,760000
70;2001,480000
71;2073,045000
72;2009,865000
73;1852,500000
74;2035,410000
75;2139,540000
76;-3913,065000
77;1711,710000
78;1883,700000
79;1719,120000
80;1504,620000
81;1577,550000
82;1396,005000
83;1532,895000
84;-726,960000
85;-617,175000
86;-923,520000
87;-460,395000
88;-554,775000
89;1251,705000
90;1002,885000
91;1012,245000
92;768,300000
93;748,020000
94;786,630000
95;752,895000
96;753,675000
97;750,360000
98;424,515000
99;524,160000
100;313,950000
101;421,980000
102;-1485,510000
103;96,915000
104;129,090000
105;259,350000
106;-9,555000
107;-63,570000
108;-219,180000
109;77,025000
110;-133,575000
111;-212,745000
112;-290,940000
113;-443,820000
114;-452,010000
115;-597,090000
116;-871,650000
117;-580,710000
118;-2527,590000
119;-669,435000
120;-916,110000
121;-967,395000
122;-1147,185000
123;-931,515000
124;-915,135000
125;-1150,500000
126;-1162,980000
127;-1399,905000
128;-1167,465000
129;-1266,720000
130;-1566,435000
131;-1406,535000
132;-1356,615000
133;-1523,145000
134;-1503,645000
135;-3338,010000
136;-1550,445000
137;-1454,115000
138;-1682,460000
139;-1919,580000
140;-1666,470000
141;-1590,615000
142;-1735,500000
143;-1836,315000
144;-2059,785000
145;-1605,630000
146;-1595,100000
147;-1715,805000
148;-1692,600000
149;-1553,760000
150;-1752,855000
151;-1672,125000
