Time;SPI (1,2,3,4)
0,000074395; (49);
0,000077475; (63);
0,000080545; (170);
0,000148795; (49);
0,000151895; (55);
0,000154990; (0);
0,000223685; (49);
0,000226810; (53);
0,000229935; (85);
0,000298425; (49);
0,000301525; (39);
0,000304620; (1);
0,000373070; (49);
0,000376185; (28);
0,000379305; (244);
0,000448110; (49);
0,000451205; (9);
0,000454305; (145);
0,000522625; (49);
0,000525720; (9);
0,000528830; (0);
0,000596735; (49);
0,000599820; (34);
0,000602900; (245);
0,000671020; (49);
0,000674120; (50);
0,000677225; (106);
0,000745170; (49);
0,000748250; (68);
0,000751320; (183);
0,000819475; (49);
0,000822570; (88);
0,000825680; (214);
0,000894355; (49);
0,000897480; (101);
0,000900590; (173);
0,000968935; (49);
0,000972015; (119);
0,000975100; (91);
0,001043055; (49);
0,001046150; (125);
0,001049250; (197);
0,001117780; (49);
0,001120905; (127);
0,001124030; (255);
0,001193145; (49);
0,001196285; (125);
0,001199430; (200);
0,001268330; (49);
0,001271440; (127);
0,001274555; (255);
0,001343320; (49);
0,001346425; (125);
0,001349535; (145);
0,001418080; (49);
0,001421190; (112);
0,001424305; (128);
0,001492810; (49);
0,001495900; (98);
0,001499000; (100);
0,001567315; (49);
0,001570425; (84);
0,001573535; (11);
0,001642325; (49);
0,001645430; (61);
0,001648540; (85);
0,001717100; (49);
0,001720230; (40);
0,001723350; (2);
0,001791685; (49);
0,001794765; (19);
0,001797845; (21);
0,001865745; (49);
0,001868840; (5);
0,001871930; (43);
0,001940075; (49);
0,001943175; (20);
0,001946280; (234);
0,002014690; (49);
0,002017800; (33);
0,002020905; (37);
0,002088990; (49);
0,002092080; (44);
0,002095170; (169);
0,002163420; (49);
0,002166525; (54);
0,002169635; (149);
0,002238475; (49);
0,002241600; (61);
0,002244735; (201);
0,002313215; (49);
0,002316295; (62);
0,002319385; (85);
0,002387505; (49);
0,002390610; (53);
0,002393715; (118);
0,002462335; (49);
0,002465440; (45);
0,002468540; (117);
0,002536855; (49);
0,002539955; (32);
0,002543055; (43);
0,002610970; (49);
0,002614040; (22);
0,002617120; (73);
0,002685245; (49);
0,002688345; (5);
0,002691440; (111);
0,002759380; (49);
0,002762465; (12);
0,002765540; (202);
0,002833715; (49);
0,002836810; (35);
0,002839910; (234);
0,002908585; (49);
0,002911720; (55);
0,002914835; (106);
0,002983175; (49);
0,002986255; (74);
0,002989335; (213);
0,003057285; (49);
0,003060385; (92);
0,003063490; (81);
0,003132005; (49);
0,003135130; (106);
0,003138255; (107);
0,003207370; (49);
0,003210525; (116);
0,003213665; (188);
0,003282555; (49);
0,003285690; (127);
0,003288795; (239);
0,003357560; (49);
0,003360690; (127);
0,003363830; (181);
0,003432395; (49);
0,003435505; (127);
0,003438610; (255);
0,003507225; (49);
0,003510320; (127);
0,003513420; (233);
0,003581850; (49);
0,003584965; (119);
0,003588085; (8);
0,003656685; (49);
0,003659775; (108);
0,003662875; (4);
0,003731165; (49);
0,003734285; (92);
0,003737400; (159);
0,003806195; (49);
0,003809305; (76);
0,003812410; (118);
0,003880895; (49);
0,003884000; (57);
0,003887110; (0);
0,003955170; (49);
0,003958250; (32);
0,003961340; (145);
0,004029700; (49);
0,004032810; (16);
0,004035915; (59);
0,004104010; (49);
0,004107090; (6);
0,004110170; (90);
0,004178515; (49);
0,004181620; (20);
0,004184725; (149);
0,004253385; (49);
0,004256505; (41);
0,004259620; (208);
0,004328320; (49);
0,004331420; (52);
0,004334525; (181);
0,004402985; (49);
0,004406110; (55);
0,004409220; (235);
0,004478020; (49);
0,004481120; (59);
0,004484225; (107);
0,004552580; (49);
0,004555685; (55);
0,004558790; (138);
0,004626845; (49);
0,004629935; (52);
0,004633015; (130);
0,004701150; (49);
0,004704250; (45);
0,004707350; (42);
0,004775275; (49);
0,004778355; (34);
0,004781425; (245);
0,004849600; (49);
0,004852710; (18);
0,004855805; (181);
0,004924305; (49);
0,004927405; (0);
0,004930520; (105);
0,004999145; (49);
0,005002235; (15);
0,005005335; (94);
0,005073620; (49);
0,005076730; (37);
0,005079840; (66);
0,005148630; (49);
0,005151735; (60);
0,005154845; (16);
0,005223285; (49);
0,005226385; (76);
0,005229485; (104);
0,005297515; (49);
0,005300610; (94);
0,005303700; (162);
0,005372060; (49);
0,005375170; (103);
0,005378275; (144);
0,005446350; (49);
0,005449435; (117);
0,005452525; (37);
0,005520790; (49);
0,005523895; (127);
0,005527005; (255);
0,005595660; (49);
0,005598780; (125);
0,005601895; (116);
0,005670545; (49);
0,005673640; (127);
0,005676740; (255);
0,005745140; (49);
0,005748250; (127);
0,005751375; (223);
0,005819860; (49);
0,005822960; (118);
0,005826050; (80);
0,005894245; (49);
0,005897345; (101);
0,005900440; (150);
0,005968555; (49);
0,005971645; (86);
0,005974740; (8);
0,006043090; (49);
0,006046200; (68);
0,006049305; (168);
0,006117370; (49);
0,006120460; (51);
0,006123550; (8);
0,006191800; (49);
0,006194905; (28);
0,006198015; (52);
0,006266655; (49);
0,006269780; (9);
0,006272905; (170);
0,006341535; (49);
0,006344635; (12);
0,006347730; (10);
0,006416140; (49);
0,006419255; (23);
0,006422370; (201);
0,006490860; (49);
0,006493950; (38);
0,006497040; (72);
0,006565160; (49);
0,006568250; (48);
0,006571335; (21);
0,006639065; (49);
0,006642135; (57);
0,006645225; (221);
0,006713320; (49);
0,006716390; (62);
0,006719460; (73);
0,006787300; (49);
0,006790400; (59);
0,006793490; (42);
0,006861895; (49);
0,006865020; (49);
0,006868135; (154);
0,006937030; (49);
0,006940155; (45);
0,006943290; (95);
0,007011935; (49);
0,007015045; (31);
0,007018150; (80);
0,007086705; (49);
0,007089840; (13);
0,007092965; (170);
0,007161470; (49);
0,007164570; (5);
0,007167665; (186);
0,007235950; (49);
0,007239045; (17);
0,007242145; (93);
0,007310030; (49);
0,007313110; (36);
0,007316190; (68);
0,007384375; (49);
0,007387485; (57);
0,007390580; (107);
0,007458880; (49);
0,007461985; (78);
0,007465095; (74);
0,007533520; (49);
0,007536615; (96);
0,007539695; (85);
0,007607835; (49);
0,007610940; (109);
0,007614045; (149);
0,007682580; (49);
0,007685670; (122);
0,007688760; (208);
0,007756990; (49);
0,007760100; (126);
0,007763205; (170);
0,007831540; (49);
0,007834635; (127);
0,007837725; (255);
0,007906190; (49);
0,007909305; (127);
0,007912415; (255);
0,007980655; (49);
0,007983755; (126);
0,007986845; (172);
0,008055280; (49);
0,008058400; (117);
0,008061500; (189);
0,008130025; (49);
0,008133135; (101);
0,008136240; (117);
0,008204695; (49);
0,008207795; (83);
0,008210885; (42);
0,008279175; (49);
0,008282290; (66);
0,008285400; (149);
0,008354180; (49);
0,008357285; (45);
0,008360395; (4);
0,008428955; (49);
0,008432075; (21);
0,008435200; (153);
0,008503715; (49);
0,008506825; (8);
0,008509920; (212);
0,008578205; (49);
0,008581295; (10);
0,008584390; (219);
0,008652280; (49);
0,008655350; (30);
0,008658440; (105);
0,008726620; (49);
0,008729720; (43);
0,008732820; (138);
0,008801060; (49);
0,008804170; (47);
0,008807270; (66);
0,008875625; (49);
0,008878710; (62);
0,008881790; (129);
0,008949930; (49);
0,008953035; (62);
0,008956145; (29);
0,009024765; (49);
0,009027865; (56);
0,009030965; (155);
0,009099320; (49);
0,009102425; (55);
0,009105535; (210);
0,009173585; (49);
0,009176680; (42);
0,009179760; (234);
0,009248055; (49);
0,009251165; (28);
0,009254270; (208);
0,009322485; (49);
0,009325580; (16);
0,009328670; (189);
0,009397090; (49);
0,009400215; (8);
0,009403330; (146);
0,009472015; (49);
0,009475140; (25);
0,009478265; (150);
0,009546745; (49);
0,009549845; (46);
0,009552940; (109);
0,009621395; (49);
0,009624515; (66);
0,009627640; (117);
0,009696415; (49);
0,009699515; (85);
0,009702610; (148);
0,009770975; (49);
0,009774080; (98);
0,009777185; (234);
0,009845390; (49);
0,009848480; (111);
0,009851580; (226);
0,009920025; (49);
0,009923150; (121);
0,009926265; (181);
0,009994515; (49);
0,009997605; (127);
0,010000695; (255);
0,010069205; (49);
0,010072320; (127);
0,010075435; (255);
0,010143950; (49);
0,010147055; (127);
0,010150165; (255);
0,010218610; (49);
0,010221710; (122);
0,010224800; (187);
0,010293100; (49);
0,010296220; (110);
0,010299325; (22);
0,010368030; (49);
0,010371130; (98);
0,010374235; (136);
0,010442625; (49);
0,010445745; (80);
0,010448845; (117);
0,010517355; (49);
0,010520455; (65);
0,010523545; (210);
0,010591670; (49);
0,010594765; (43);
0,010597850; (236);
0,010665580; (49);
0,010668650; (20);
0,010671720; (126);
0,010739810; (49);
0,010742905; (0);
0,010746005; (219);
0,010814465; (49);
0,010817575; (13);
0,010820690; (42);
0,010889380; (49);
0,010892490; (31);
0,010895590; (170);
0,010964045; (49);
0,010967155; (40);
0,010970280; (36);
0,011039155; (49);
0,011042260; (55);
0,011045370; (109);
0,011113895; (49);
0,011117005; (57);
0,011120115; (226);
0,011188345; (49);
0,011191435; (64);
0,011194515; (214);
0,011262810; (49);
0,011265915; (55);
0,011269025; (74);
0,011337100; (49);
0,011340185; (50);
0,011343275; (106);
0,011411550; (49);
0,011414655; (40);
0,011417765; (189);
0,011486415; (49);
0,011489540; (26);
0,011492665; (221);
0,011561290; (49);
0,011564390; (7);
0,011567485; (65);
0,011635935; (49);
0,011639060; (11);
0,011642185; (43);
0,011711135; (49);
0,011714255; (29);
0,011717370; (235);
0,011786045; (49);
0,011789165; (52);
0,011792295; (84);
0,011860660; (49);
0,011863750; (71);
0,011866850; (40);
0,011935310; (49);
0,011938425; (89);
0,011941550; (20);
0,012009790; (49);
0,012012880; (103);
0,012015975; (87);
0,012084425; (49);
0,012087525; (114);
0,012090650; (181);
0,012158915; (49);
0,012162005; (125);
0,012165105; (200);
0,012233595; (49);
0,012236705; (127);
0,012239820; (255);
0,012308840; (49);
0,012311975; (125);
0,012315115; (170);
0,012383745; (49);
0,012386835; (125);
0,012389925; (170);
0,012458210; (49);
0,012461330; (115);
0,012464450; (144);
0,012533235; (49);
0,012536345; (102);
0,012539450; (106);
0,012607855; (49);
0,012610960; (86);
0,012614050; (117);
0,012682070; (49);
0,012685160; (69);
0,012688250; (4);
0,012756600; (49);
0,012759710; (54);
0,012762815; (47);
0,012830915; (49);
0,012834005; (31);
0,012837085; (85);
0,012905420; (49);
0,012908525; (9);
0,012911630; (90);
0,012980350; (49);
0,012983485; (6);
0,012986610; (237);
0,013055385; (49);
0,013058485; (23);
0,013061585; (237);
0,013129990; (49);
0,013133105; (42);
0,013136225; (181);
0,013204560; (49);
0,013207650; (56);
0,013210750; (219);
0,013278910; (49);
0,013282000; (63);
0,013285100; (213);
0,013353040; (49);
0,013356120; (64);
0,013359210; (169);
0,013427380; (49);
0,013430485; (68);
0,013433580; (47);
0,013501490; (49);
0,013504570; (57);
0,013507650; (223);
0,013575870; (49);
0,013578975; (53);
0,013582075; (32);
0,013650740; (49);
0,013653865; (39);
0,013656980; (1);
0,013725285; (49);
0,013728365; (25);
0,013731445; (201);
0,013799385; (49);
0,013802485; (6);
0,013805580; (149);
0,013874035; (49);
0,013877140; (11);
0,013880245; (235);
0,013949025; (49);
0,013952150; (28);
0,013955275; (42);
0,014023820; (49);
0,014026930; (54);
0,014030015; (32);
0,014098450; (49);
0,014101570; (72);
0,014104685; (106);
0,014172915; (49);
0,014176015; (89);
0,014179105; (21);
0,014247530; (49);
0,014250645; (99);
0,014253765; (171);
0,014322510; (49);
0,014325635; (108);
0,014328760; (23);
0,014397250; (49);
0,014400355; (122);
0,014403455; (109);
0,014471900; (49);
0,014475010; (127);
0,014478135; (148);
0,014546935; (49);
0,014550045; (124);
0,014553140; (189);
0,014621395; (49);
0,014624475; (124);
0,014627565; (178);
0,014695435; (49);
0,014698515; (113);
0,014701595; (104);
0,014769790; (49);
0,014772890; (102);
0,014775985; (200);
0,014844105; (49);
0,014847195; (87);
0,014850285; (107);
0,014918620; (49);
0,014921730; (74);
0,014924835; (162);
0,014993610; (49);
0,014996730; (52);
0,014999865; (40);
0,015068890; (49);
0,015072010; (29);
0,015075110; (10);
0,015143810; (49);
0,015146935; (13);
0,015150045; (132);
0,015218415; (49);
0,015221485; (12);
0,015224565; (218);
0,015292430; (49);
0,015295515; (29);
0,015298600; (101);
0,015366730; (49);
0,015369825; (45);
0,015372925; (93);
0,015441530; (49);
0,015444655; (54);
0,015447780; (16);
0,015516200; (49);
0,015519295; (56);
0,015522395; (171);
0,015590820; (49);
0,015593930; (65);
0,015597040; (138);
0,015665745; (49);
0,015668860; (62);
0,015671980; (10);
0,015740465; (49);
0,015743565; (57);
0,015746665; (0);
0,015815115; (49);
0,015818225; (44);
0,015821350; (26);
0,015890220; (49);
0,015893330; (31);
0,015896435; (50);
0,015964910; (49);
0,015968020; (18);
0,015971125; (138);
0,016039190; (49);
0,016042275; (0);
0,016045365; (21);
0,016113725; (49);
0,016116830; (18);
0,016119940; (8);
0,016188020; (49);
0,016191110; (35);
0,016194190; (5);
0,016262450; (49);
0,016265560; (56);
0,016268665; (121);
0,016337395; (49);
0,016340520; (72);
0,016343630; (128);
0,016412270; (49);
0,016415370; (95);
0,016418475; (69);
0,016486875; (49);
0,016489990; (110);
0,016493105; (114);
0,016561585; (49);
0,016564685; (118);
0,016567775; (59);
0,016635905; (49);
0,016638985; (127);
0,016642075; (42);
0,016709925; (49);
0,016712995; (127);
0,016716085; (151);
0,016784275; (49);
0,016787385; (127);
0,016790480; (255);
0,016858525; (49);
0,016861600; (121);
0,016864690; (181);
