Time;SPI (1,2,3,4)
0,000069675; (49);
0,000072785; (139);
0,000075895; (97);
0,000144540; (49);
0,000147640; (133);
0,000150730; (148);
0,000219090; (49);
0,000222200; (133);
0,000225310; (45);
0,000293775; (49);
0,000296870; (128);
0,000299960; (6);
0,000368545; (49);
0,000371660; (118);
0,000374785; (216);
0,000443145; (49);
0,000446245; (116);
0,000449345; (28);
0,000517960; (49);
0,000521080; (109);
0,000524200; (222);
0,000592585; (49);
0,000595690; (103);
0,000598790; (133);
0,000667165; (49);
0,000670280; (103);
0,000673390; (71);
0,000742100; (49);
0,000745220; (102);
0,000748345; (19);
0,000816795; (49);
0,000819885; (102);
0,000822990; (165);
0,000891365; (49);
0,000894500; (101);
0,000897620; (105);
0,000966445; (49);
0,000969545; (103);
0,000972655; (66);
0,001041000; (49);
0,001044085; (106);
0,001047165; (85);
0,001115315; (49);
0,001118425; (106);
0,001121525; (130);
0,001190245; (49);
0,001193380; (110);
0,001196495; (18);
0,001265040; (49);
0,001268140; (122);
0,001271245; (32);
0,001339635; (49);
0,001342725; (127);
0,001345820; (229);
0,001414080; (49);
0,001417190; (132);
0,001420300; (77);
0,001488950; (49);
0,001492050; (136);
0,001495145; (97);
0,001563555; (49);
0,001566675; (145);
0,001569795; (191);
0,001638530; (49);
0,001641630; (152);
0,001644730; (69);
0,001713000; (49);
0,001716100; (147);
0,001719205; (155);
0,001787070; (49);
0,001790145; (150);
0,001793225; (110);
0,001861375; (49);
0,001864470; (154);
0,001867570; (112);
0,001935460; (49);
0,001938535; (158);
0,001941610; (16);
0,002009830; (49);
0,002012915; (150);
0,002015990; (177);
0,002083925; (49);
0,002087015; (153);
0,002090120; (36);
0,002158530; (49);
0,002161620; (144);
0,002164715; (104);
0,002232935; (49);
0,002236045; (141);
0,002239165; (168);
0,002307755; (49);
0,002310855; (143);
0,002313950; (181);
0,002382060; (49);
0,002385150; (131);
0,002388235; (39);
0,002455945; (49);
0,002459020; (132);
0,002462095; (95);
0,002530145; (49);
0,002533220; (123);
0,002536285; (211);
0,002604070; (49);
0,002607165; (116);
0,002610255; (96);
0,002678505; (49);
0,002681590; (115);
0,002684670; (81);
0,002752745; (49);
0,002755845; (112);
0,002758955; (51);
0,002827465; (49);
0,002830565; (107);
0,002833670; (104);
0,002902235; (49);
0,002905355; (104);
0,002908475; (65);
0,002976835; (49);
0,002979940; (98);
0,002983040; (196);
0,003051605; (49);
0,003054710; (101);
0,003057845; (167);
0,003126215; (49);
0,003129305; (95);
0,003132410; (14);
0,003200635; (49);
0,003203720; (102);
0,003206800; (175);
0,003274895; (49);
0,003278005; (113);
0,003281110; (28);
0,003349685; (49);
0,003352775; (111);
0,003355880; (145);
0,003424275; (49);
0,003427395; (114);
0,003430510; (184);
0,003499340; (49);
0,003502450; (122);
0,003505550; (157);
0,003573885; (49);
0,003576970; (129);
0,003580055; (165);
0,003648210; (49);
0,003651315; (132);
0,003654415; (20);
0,003723140; (49);
0,003726265; (136);
0,003729400; (60);
0,003797940; (49);
0,003801045; (143);
0,003804145; (215);
0,003872550; (49);
0,003875640; (151);
0,003878735; (187);
0,003946995; (49);
0,003950105; (149);
0,003953225; (155);
0,004021785; (49);
0,004024875; (149);
0,004027970; (148);
0,004096205; (49);
0,004099325; (152);
0,004102435; (8);
0,004171170; (49);
0,004174285; (154);
0,004177385; (124);
0,004245755; (49);
0,004248845; (154);
0,004251940; (132);
0,004319905; (49);
0,004322990; (153);
0,004326080; (246);
0,004394385; (49);
0,004397495; (151);
0,004400600; (237);
0,004468835; (49);
0,004471925; (145);
0,004475030; (122);
0,004543335; (49);
0,004546420; (139);
0,004549500; (30);
0,004617595; (49);
0,004620700; (134);
0,004623810; (14);
0,004692485; (49);
0,004695620; (126);
0,004698735; (44);
0,004767885; (49);
0,004771030; (124);
0,004774170; (231);
0,004842970; (49);
0,004846075; (116);
0,004849165; (67);
0,004917445; (49);
0,004920550; (112);
0,004923640; (80);
0,004991495; (49);
0,004994580; (108);
0,004997675; (72);
0,005065890; (49);
0,005068990; (98);
0,005072085; (171);
0,005140150; (49);
0,005143245; (105);
0,005146335; (78);
0,005214630; (49);
0,005217735; (99);
0,005220845; (146);
0,005289645; (49);
0,005292775; (104);
0,005295900; (21);
0,005364505; (49);
0,005367620; (101);
0,005370720; (11);
0,005439295; (49);
0,005442410; (104);
0,005445555; (87);
0,005514530; (49);
0,005517640; (111);
0,005520750; (109);
0,005589355; (49);
0,005592470; (110);
0,005595580; (58);
0,005663750; (49);
0,005666850; (117);
0,005669950; (66);
0,005738430; (49);
0,005741540; (123);
0,005744660; (247);
0,005812860; (49);
0,005815955; (130);
0,005819045; (251);
0,005887505; (49);
0,005890625; (130);
0,005893735; (50);
0,005962205; (49);
0,005965315; (142);
0,005968425; (188);
0,006036905; (49);
0,006040005; (143);
0,006043090; (7);
0,006111340; (49);
0,006114450; (145);
0,006117560; (99);
0,006186145; (49);
0,006189235; (147);
0,006192320; (102);
0,006260505; (49);
0,006263610; (152);
0,006266720; (18);
0,006334945; (49);
0,006338045; (157);
0,006341150; (186);
0,006409615; (49);
0,006412725; (159);
0,006415845; (129);
0,006484050; (49);
0,006487145; (153);
0,006490235; (98);
0,006558680; (49);
0,006561795; (153);
0,006564910; (4);
0,006633425; (49);
0,006636535; (145);
0,006639645; (28);
0,006708200; (49);
0,006711285; (144);
0,006714375; (90);
0,006782615; (49);
0,006785725; (139);
0,006788835; (141);
0,006857560; (49);
0,006860660; (130);
0,006863760; (45);
0,006932185; (49);
0,006935300; (128);
0,006938410; (106);
0,007006410; (49);
0,007009495; (118);
0,007012585; (37);
0,007080890; (49);
0,007084000; (115);
0,007087110; (250);
0,007155135; (49);
0,007158220; (107);
0,007161300; (160);
0,007229670; (49);
0,007232770; (108);
0,007235880; (212);
0,007304405; (49);
0,007307525; (104);
0,007310640; (182);
0,007379355; (49);
0,007382455; (104);
0,007385550; (112);
0,007453890; (49);
0,007457000; (98);
0,007460110; (181);
0,007528610; (49);
0,007531705; (100);
0,007534795; (48);
0,007602900; (49);
0,007605990; (105);
0,007609080; (180);
0,007676975; (49);
0,007680055; (107);
0,007683140; (139);
0,007751275; (49);
0,007754375; (107);
0,007757480; (222);
0,007825560; (49);
0,007828645; (109);
0,007831740; (214);
0,007900035; (49);
0,007903150; (122);
0,007906250; (26);
0,007974930; (49);
0,007978050; (122);
0,007981165; (54);
0,008049910; (49);
0,008053005; (130);
0,008056105; (184);
0,008124460; (49);
0,008127570; (130);
0,008130690; (7);
0,008199130; (49);
0,008202220; (140);
0,008205315; (222);
0,008273420; (49);
0,008276520; (149);
0,008279605; (246);
0,008347510; (49);
0,008350595; (148);
0,008353680; (248);
0,008421825; (49);
0,008424930; (155);
0,008428020; (124);
0,008496105; (49);
0,008499195; (155);
0,008502290; (14);
0,008570585; (49);
0,008573690; (153);
0,008576790; (78);
0,008645575; (49);
0,008648720; (152);
0,008651835; (167);
0,008720290; (49);
0,008723370; (152);
0,008726455; (199);
0,008794525; (49);
0,008797625; (151);
0,008800740; (94);
0,008869240; (49);
0,008872360; (145);
0,008875465; (176);
0,008944200; (49);
0,008947325; (141);
0,008950455; (167);
0,009018975; (49);
0,009022085; (138);
0,009025185; (136);
0,009093920; (49);
0,009097035; (127);
0,009100180; (45);
0,009168715; (49);
0,009171825; (126);
0,009174925; (147);
0,009243485; (49);
0,009246580; (120);
0,009249680; (57);
0,009318060; (49);
0,009321170; (113);
0,009324290; (168);
0,009392855; (49);
0,009395940; (113);
0,009399035; (95);
0,009467275; (49);
0,009470395; (105);
0,009473505; (32);
0,009542100; (49);
0,009545195; (100);
0,009548280; (66);
0,009616395; (49);
0,009619485; (103);
0,009622580; (24);
0,009690480; (49);
0,009693560; (102);
0,009696645; (208);
0,009764785; (49);
0,009767890; (101);
0,009770980; (82);
0,009839065; (49);
0,009842160; (103);
0,009845240; (95);
0,009913540; (49);
0,009916645; (103);
0,009919755; (103);
0,009988550; (49);
0,009991675; (109);
0,009994805; (222);
0,010063240; (49);
0,010066320; (117);
0,010069405; (76);
0,010137475; (49);
0,010140585; (118);
0,010143690; (217);
0,010212275; (49);
0,010215375; (125);
0,010218480; (29);
0,010287230; (49);
0,010290345; (128);
0,010293490; (221);
0,010361995; (49);
0,010365095; (141);
0,010368195; (230);
0,010436745; (49);
0,010439880; (144);
0,010443000; (51);
0,010511375; (49);
0,010514470; (145);
0,010517570; (120);
0,010586125; (49);
0,010589245; (146);
0,010592365; (249);
0,010661240; (49);
0,010664375; (152);
0,010667490; (41);
0,010736080; (49);
0,010739190; (153);
0,010742300; (65);
0,010810815; (49);
0,010813935; (154);
0,010817055; (128);
0,010885650; (49);
0,010888750; (153);
0,010891845; (202);
0,010960125; (49);
0,010963225; (155);
0,010966320; (48);
0,011034175; (49);
0,011037260; (149);
0,011040345; (29);
0,011108495; (49);
0,011111595; (142);
0,011114700; (126);
0,011182705; (49);
0,011185790; (138);
0,011188870; (84);
0,011257165; (49);
0,011260280; (139);
0,011263380; (111);
0,011332105; (49);
0,011335235; (128);
0,011338360; (160);
0,011407260; (49);
0,011410370; (121);
0,011413470; (165);
0,011482035; (49);
0,011485150; (126);
0,011488295; (58);
0,011557200; (49);
0,011560310; (110);
0,011563410; (189);
0,011631850; (49);
0,011634955; (111);
0,011638055; (147);
0,011706085; (49);
0,011709180; (106);
0,011712270; (199);
0,011780585; (49);
0,011783690; (105);
0,011786800; (209);
0,011854845; (49);
0,011857930; (100);
0,011861010; (26);
0,011929380; (49);
0,011932490; (101);
0,011935595; (210);
0,012004255; (49);
0,012007385; (99);
0,012010520; (177);
0,012079335; (49);
0,012082435; (100);
0,012085535; (45);
0,012154065; (49);
0,012157200; (108);
0,012160320; (237);
0,012228775; (49);
0,012231880; (110);
0,012234970; (51);
0,012303330; (49);
0,012306440; (116);
0,012309560; (188);
0,012377870; (49);
0,012380970; (122);
0,012384070; (225);
0,012452650; (49);
0,012455770; (128);
0,012458890; (116);
0,012527240; (49);
0,012530350; (132);
