Time;SPI (1,2,3,4)
0,000063460; (49);
0,000066545; (162);
0,000069635; (22);
0,000137840; (49);
0,000140935; (168);
0,000144035; (77);
0,000211955; (49);
0,000215040; (167);
0,000218120; (154);
0,000286365; (49);
0,000289460; (161);
0,000292560; (196);
0,000361160; (49);
0,000364290; (157);
0,000367415; (122);
0,000436285; (49);
0,000439390; (154);
0,000442495; (111);
0,000511025; (49);
0,000514140; (145);
0,000517255; (63);
0,000585460; (49);
0,000588530; (136);
0,000591610; (159);
0,000659770; (49);
0,000662875; (131);
0,000665970; (244);
0,000734015; (49);
0,000737100; (126);
0,000740190; (168);
0,000808470; (49);
0,000811575; (117);
0,000814685; (87);
0,000882920; (49);
0,000886010; (107);
0,000889105; (160);
0,000957375; (49);
0,000960470; (101);
0,000963555; (241);
0,001031685; (49);
0,001034800; (97);
0,001037905; (141);
0,001106535; (49);
0,001109635; (92);
0,001112740; (206);
0,001181165; (49);
0,001184295; (89);
0,001187415; (214);
0,001256230; (49);
0,001259325; (87);
0,001262430; (193);
0,001330655; (49);
0,001333745; (89);
0,001336825; (200);
0,001404850; (49);
0,001407950; (91);
0,001411045; (116);
0,001479655; (49);
0,001482785; (91);
0,001485905; (244);
0,001554340; (49);
0,001557440; (105);
0,001560535; (230);
0,001628980; (49);
0,001632080; (105);
0,001635180; (103);
0,001703480; (49);
0,001706595; (123);
0,001709710; (129);
0,001778400; (49);
0,001781505; (121);
0,001784600; (126);
0,001853055; (49);
0,001856180; (134);
0,001859290; (201);
0,001928180; (49);
0,001931285; (141);
0,001934390; (92);
0,002002825; (49);
0,002005920; (150);
0,002009010; (240);
0,002077020; (49);
0,002080110; (155);
0,002083200; (106);
0,002151485; (49);
0,002154595; (163);
0,002157700; (181);
0,002225795; (49);
0,002228885; (161);
0,002231960; (112);
0,002300295; (49);
0,002303410; (165);
0,002306515; (246);
0,002375280; (49);
0,002378405; (163);
0,002381540; (219);
0,002450570; (49);
0,002453685; (161);
0,002456800; (254);
0,002525490; (49);
0,002528600; (164);
0,002531725; (79);
0,002600095; (49);
0,002603180; (161);
0,002606270; (17);
0,002674585; (49);
0,002677690; (155);
0,002680795; (18);
0,002748870; (49);
0,002751955; (142);
0,002755050; (222);
0,002823405; (49);
0,002826510; (135);
0,002829615; (111);
0,002897840; (49);
0,002900935; (131);
0,002904030; (183);
0,002972455; (49);
0,002975570; (104);
0,002978685; (57);
0,003047570; (49);
0,003050705; (22);
0,003053830; (108);
0,003122565; (49);
0,003125670; (0);
0,003128775; (0);
0,003197335; (49);
0,003200460; (41);
0,003203590; (11);
0,003272100; (49);
0,003275200; (72);
0,003278305; (194);
0,003346590; (49);
0,003349680; (93);
0,003352780; (119);
0,003420665; (49);
0,003423755; (110);
0,003426835; (139);
0,003495030; (49);
0,003498125; (120);
0,003501230; (205);
0,003569165; (49);
0,003572245; (123);
0,003575325; (35);
0,003643505; (49);
0,003646605; (126);
0,003649710; (199);
0,003718390; (49);
0,003721515; (127);
0,003724640; (149);
0,003793140; (49);
0,003796235; (133);
0,003799330; (204);
0,003867745; (49);
0,003870860; (144);
0,003873975; (63);
0,003942480; (49);
0,003945565; (140);
0,003948655; (218);
0,004016790; (49);
0,004019885; (139);
0,004022965; (55);
0,004090900; (49);
0,004093985; (143);
0,004097065; (32);
0,004165250; (49);
0,004168355; (145);
0,004171455; (233);
0,004239755; (49);
0,004242865; (148);
0,004245970; (210);
0,004314405; (49);
0,004317495; (155);
0,004320580; (80);
0,004388720; (49);
0,004391825; (162);
0,004394930; (72);
0,004463465; (49);
0,004466560; (162);
0,004469655; (115);
0,004537895; (49);
0,004541000; (165);
0,004544105; (240);
0,004612295; (49);
0,004615385; (168);
0,004618480; (243);
0,004686945; (49);
0,004690060; (166);
0,004693175; (71);
0,004761410; (49);
0,004764495; (159);
0,004767595; (59);
0,004835855; (49);
0,004838970; (159);
0,004842075; (103);
0,004910610; (49);
0,004913725; (152);
0,004916840; (159);
0,004985360; (49);
0,004988455; (144);
0,004991545; (27);
0,005059850; (49);
0,005062965; (135);
0,005066080; (88);
0,005134780; (49);
0,005137875; (129);
0,005140975; (120);
0,005209380; (49);
0,005212495; (121);
0,005215610; (131);
0,005283970; (49);
0,005287075; (112);
0,005290170; (218);
0,005358805; (49);
0,005361925; (104);
0,005365035; (205);
0,005433450; (49);
0,005436555; (95);
0,005439660; (222);
0,005508335; (49);
0,005511455; (91);
0,005514580; (234);
0,005582995; (49);
0,005586100; (90);
0,005589195; (98);
0,005657655; (49);
0,005660745; (91);
0,005663840; (33);
0,005732150; (49);
0,005735265; (91);
0,005738380; (53);
0,005806980; (49);
0,005810080; (86);
0,005813175; (49);
0,005881450; (49);
0,005884565; (95);
0,005887680; (193);
0,005956395; (49);
0,005959490; (97);
0,005962595; (32);
0,006030845; (49);
0,006033930; (113);
0,006037015; (80);
0,006104880; (49);
0,006107970; (115);
0,006111050; (109);
0,006179245; (49);
0,006182340; (123);
0,006185440; (217);
0,006253695; (49);
0,006256790; (127);
0,006259890; (100);
0,006328250; (49);
0,006331345; (143);
0,006334430; (17);
0,006402575; (49);
0,006405680; (144);
0,006408795; (67);
0,006477405; (49);
0,006480510; (144);
0,006483610; (40);
0,006552015; (49);
0,006555130; (161);
0,006558245; (86);
0,006626755; (49);
0,006629860; (161);
0,006632945; (116);
0,006701075; (49);
0,006704160; (165);
0,006707250; (169);
0,006774980; (49);
0,006778060; (167);
0,006781140; (157);
0,006849240; (49);
0,006852310; (162);
0,006855385; (114);
0,006923230; (49);
0,006926320; (164);
0,006929415; (225);
0,006997815; (49);
0,007000930; (163);
0,007004045; (64);
0,007072930; (49);
