Time;SPI (1,2,3,4)
0,000017770; (49);
0,000020875; (139);
0,000023985; (34);
0,000092240; (49);
0,000095330; (111);
0,000098425; (55);
0,000166940; (49);
0,000170040; (122);
0,000173155; (154);
0,000241555; (49);
0,000244655; (105);
0,000247760; (236);
0,000316210; (49);
0,000319300; (98);
0,000322390; (47);
0,000390640; (49);
0,000393750; (123);
0,000396855; (52);
0,000465310; (49);
0,000468400; (113);
0,000471480; (151);
0,000539545; (49);
0,000542640; (116);
0,000545750; (44);
0,000613990; (49);
0,000617090; (118);
0,000620190; (124);
0,000688710; (49);
0,000691820; (1);
0,000694940; (2);
0,000763190; (49);
0,000766290; (96);
0,000769390; (145);
0,000837880; (49);
0,000841005; (102);
0,000844120; (162);
0,000912640; (49);
0,000915750; (126);
0,000918855; (139);
0,000987310; (49);
0,000990400; (146);
0,000993500; (71);
0,001061790; (49);
0,001064910; (136);
0,001068025; (250);
0,001136810; (49);
0,001139915; (115);
0,001143025; (147);
0,001211510; (49);
0,001214615; (94);
0,001217725; (66);
0,001285785; (0);
0,001288865; (1);
0,001291945; (2);
0,001360075; (49);
0,001363180; (115);
0,001366280; (33);
0,001434195; (49);
0,001437275; (136);
0,001440355; (12);
0,001508535; (49);
0,001511635; (184);
0,001514740; (221);
0,001583235; (49);
0,001586350; (173);
0,001589450; (50);
0,001658065; (49);
0,001661165; (146);
0,001664255; (145);
0,001732500; (49);
0,001735610; (146);
0,001738715; (108);
0,001807175; (49);
0,001810275; (139);
0,001813365; (247);
0,001881525; (49);
0,001884625; (149);
0,001887715; (201);
0,001955665; (49);
0,001958750; (116);
0,001961830; (31);
0,002030035; (49);
0,002033130; (98);
0,002036230; (215);
0,002104165; (49);
0,002107245; (113);
0,002110325; (205);
0,002178550; (49);
0,002181655; (110);
0,002184755; (144);
0,002253435; (49);
0,002256545; (127);
0,002259670; (204);
0,002328005; (49);
0,002331080; (131);
0,002334160; (108);
0,002402110; (49);
0,002405210; (135);
0,002408305; (155);
0,002476835; (49);
0,002479960; (133);
0,002483085; (153);
0,002552215; (49);
0,002555345; (139);
0,002558490; (199);
0,002627380; (49);
0,002630495; (139);
0,002633600; (17);
0,002701900; (49);
0,002704990; (138);
0,002708080; (231);
0,002775985; (0);
0,002779065; (1);
0,002782140; (2);
0,002850310; (49);
0,002853410; (162);
0,002856510; (110);
0,002925200; (49);
0,002928325; (149);
0,002931435; (235);
0,002999930; (49);
0,003003030; (133);
0,003006130; (53);
0,003074565; (49);
0,003077690; (128);
0,003080820; (103);
0,003149625; (0);
0,003152725; (1);
0,003155825; (2);
0,003224110; (49);
0,003227200; (141);
0,003230300; (148);
0,003298190; (49);
0,003301265; (135);
0,003304355; (216);
0,003372540; (49);
0,003375640; (123);
0,003378735; (114);
0,003446675; (49);
0,003449755; (133);
0,003452825; (180);
0,003521000; (49);
0,003524100; (126);
0,003527195; (47);
0,003595890; (141);
0,003599000; (150);
0,003602125; (2);
0,003670445; (49);
0,003673525; (160);
0,003676605; (139);
0,003744560; (49);
0,003747665; (136);
0,003750765; (15);
0,003819300; (49);
0,003822425; (133);
0,003825535; (201);
0,003894650; (49);
0,003897795; (145);
0,003900935; (246);
0,003969830; (49);
0,003972945; (147);
0,003976045; (77);
0,004044295; (0);
0,004047375; (1);
0,004050450; (2);
0,004118465; (49);
0,004121560; (101);
0,004124660; (35);
0,004193240; (49);
0,004196365; (109);
0,004199490; (168);
0,004268540; (49);
0,004271675; (117);
0,004274820; (155);
0,004343455; (49);
0,004346555; (141);
0,004349640; (105);
0,004417935; (49);
0,004421055; (132);
0,004424170; (171);
0,004492965; (49);
0,004496070; (130);
0,004499180; (227);
0,004567625; (49);
0,004570730; (127);
0,004573830; (20);
0,004641870; (49);
0,004644950; (142);
0,004648050; (36);
0,004716400; (49);
0,004719510; (137);
0,004722615; (37);
0,004790710; (49);
0,004793790; (141);
0,004796880; (14);
0,004865140; (49);
0,004868250; (149);
0,004871355; (209);
0,004940005; (49);
0,004943130; (149);
0,004946255; (154);
0,005014880; (49);
0,005017980; (106);
0,005021090; (45);
0,005089495; (49);
0,005092610; (99);
0,005095720; (98);
0,005164205; (49);
0,005167305; (99);
0,005170395; (130);
0,005238545; (49);
0,005241650; (103);
0,005244740; (200);
0,005312480; (49);
0,005315565; (117);
0,005318650; (45);
0,005386740; (49);
0,005389835; (130);
0,005392925; (98);
0,005461070; (49);
0,005464165; (127);
0,005467265; (89);
0,005535670; (49);
0,005538775; (133);
0,005541885; (229);
0,005610720; (49);
0,005613855; (157);
0,005616980; (26);
0,005685460; (49);
0,005688545; (160);
0,005691635; (254);
0,005759760; (0);
0,005762865; (1);
0,005765970; (2);
0,005834590; (49);
0,005837695; (140);
0,005840795; (62);
0,005909110; (49);
0,005912210; (132);
0,005915310; (118);
0,005983230; (49);
0,005986300; (145);
0,005989390; (215);
0,006057570; (49);
0,006060670; (153);
0,006063770; (101);
0,006131900; (0);
0,006134990; (1);
0,006138080; (2);
0,006206410; (49);
0,006209520; (172);
0,006212625; (110);
0,006281345; (49);
0,006284470; (150);
0,006287580; (43);
0,006356225; (49);
0,006359320; (151);
0,006362420; (240);
0,006430820; (49);
0,006433935; (138);
0,006437050; (114);
0,006505550; (0);
0,006508645; (1);
0,006511735; (2);
0,006579855; (49);
0,006582945; (141);
0,006586035; (203);
0,006653755; (49);
0,006656825; (110);
0,006659905; (78);
0,006727990; (49);
0,006731095; (111);
0,006734185; (150);
0,006802450; (49);
0,006805555; (58);
0,006808660; (238);
0,006877095; (49);
0,006880175; (98);
0,006883260; (1);
0,006951390; (49);
0,006954495; (118);
0,006957605; (82);
0,007026210; (49);
0,007029305; (151);
0,007032405; (152);
0,007100760; (49);
0,007103870; (146);
0,007106975; (162);
0,007175035; (49);
0,007178125; (136);
0,007181210; (78);
0,007249500; (49);
0,007252605; (134);
0,007255715; (186);
0,007323935; (49);
0,007327025; (137);
0,007330115; (134);
0,007398550; (49);
0,007401665; (153);
0,007404780; (93);
0,007473430; (49);
0,007476545; (145);
0,007479645; (60);
0,007548115; (49);
0,007551215; (160);
0,007554300; (109);
0,007622595; (49);
0,007625715; (169);
0,007628815; (240);
0,007697530; (49);
0,007700630; (160);
0,007703735; (186);
0,007772090; (49);
0,007775200; (149);
0,007778305; (2);
0,007846360; (49);
0,007849460; (135);
0,007852550; (184);
0,007920905; (0);
0,007924010; (1);
0,007927120; (2);
0,007995205; (49);
0,007998285; (126);
0,008001385; (202);
0,008069720; (49);
0,008072825; (126);
0,008075930; (26);
0,008144600; (49);
0,008147710; (119);
0,008150835; (219);
0,008219535; (49);
0,008222640; (138);
0,008225740; (115);
0,008294190; (49);
0,008297315; (120);
0,008300440; (73);
0,008369300; (49);
0,008372405; (126);
0,008375515; (108);
0,008444035; (49);
0,008447145; (126);
0,008450255; (242);
0,008518480; (49);
0,008521570; (130);
0,008524655; (34);
0,008593130; (49);
0,008596245; (128);
0,008599355; (203);
0,008667605; (49);
0,008670695; (126);
0,008673795; (198);
0,008742300; (49);
0,008745420; (103);
0,008748520; (207);
0,008816920; (50);
0,008820020; (1);
0,008823125; (2);
0,008891480; (49);
0,008894570; (184);
0,008897655; (195);
0,008965780; (49);
0,008968885; (169);
0,008971995; (232);
0,009040620; (49);
0,009043720; (157);
0,009046820; (190);
0,009115170; (49);
0,009118280; (152);
0,009121385; (146);
0,009189585; (49);
0,009192675; (145);
0,009195775; (21);
0,009264230; (49);
0,009267340; (121);
0,009270465; (37);
0,009338700; (49);
0,009341790; (121);
0,009344885; (100);
0,009413330; (49);
0,009416440; (130);
0,009419550; (122);
0,009488130; (49);
0,009491245; (168);
0,009494360; (132);
0,009562805; (49);
0,009565895; (159);
0,009568995; (112);
0,009637290; (49);
0,009640405; (149);
