Time;SPI (1,2,3,4)
0,000036210; (49);
0,000039310; (77);
0,000042410; (95);
0,000110660; (49);
0,000113760; (84);
0,000116850; (25);
0,000184690; (49);
0,000187770; (87);
0,000190860; (71);
0,000258980; (49);
0,000262080; (105);
0,000265180; (183);
0,000333230; (49);
0,000336320; (114);
0,000339410; (241);
0,000407675; (49);
0,000410785; (125);
0,000413890; (194);
0,000482515; (49);
0,000485645; (144);
0,000488770; (53);
0,000557730; (49);
0,000560845; (158);
0,000563955; (166);
0,000632620; (49);
0,000635735; (167);
0,000638875; (164);
0,000707480; (49);
0,000710580; (177);
0,000713690; (221);
0,000782035; (49);
0,000785125; (189);
0,000788215; (148);
0,000856165; (49);
0,000859255; (192);
0,000862340; (9);
0,000930570; (49);
0,000933670; (200);
0,000936775; (97);
0,001004800; (49);
0,001007880; (199);
0,001010970; (187);
0,001079165; (49);
0,001082275; (200);
0,001085370; (165);
0,001154140; (49);
0,001157270; (197);
0,001160405; (253);
0,001228990; (49);
0,001232100; (182);
0,001235200; (107);
0,001303745; (49);
0,001306885; (179);
0,001310010; (154);
0,001378895; (49);
0,001382005; (168);
0,001385105; (180);
0,001453460; (49);
0,001456550; (150);
0,001459640; (173);
0,001527595; (49);
0,001530680; (131);
0,001533770; (87);
0,001602050; (49);
0,001605160; (125);
0,001608265; (161);
0,001676420; (49);
0,001679510; (109);
0,001682600; (56);
0,001751040; (49);
0,001754145; (103);
0,001757260; (27);
0,001826090; (49);
0,001829210; (84);
0,001832350; (129);
0,001901080; (49);
0,001904180; (82);
0,001907290; (216);
0,001975790; (49);
0,001978900; (78);
0,001982025; (98);
0,002050480; (49);
0,002053570; (73);
0,002056665; (25);
0,002124890; (49);
0,002127980; (74);
0,002131070; (57);
0,002198890; (49);
0,002201965; (80);
0,002205045; (10);
0,002273175; (49);
0,002276275; (82);
0,002279375; (170);
0,002347425; (49);
0,002350510; (86);
0,002353600; (150);
0,002421865; (49);
0,002424970; (92);
0,002428070; (107);
0,002496780; (49);
0,002499915; (109);
0,002503030; (5);
0,002571910; (49);
0,002575020; (121);
0,002578120; (78);
0,002646680; (49);
0,002649810; (134);
0,002652935; (122);
0,002721815; (49);
0,002724920; (153);
0,002728030; (245);
0,002796415; (49);
0,002799510; (168);
0,002802610; (168);
0,002870590; (49);
0,002873670; (175);
0,002876750; (104);
0,002944980; (49);
0,002948080; (188);
0,002951185; (30);
0,003019220; (49);
0,003022300; (200);
0,003025380; (99);
0,003093585; (49);
0,003096685; (209);
0,003099795; (82);
0,003168390; (49);
0,003171500; (204);
0,003174625; (183);
0,003243330; (49);
0,003246430; (187);
0,003249530; (233);
0,003317910; (49);
0,003321020; (183);
0,003324155; (225);
0,003392955; (49);
0,003396065; (181);
0,003399160; (193);
0,003467550; (49);
0,003470650; (167);
0,003473740; (42);
0,003541715; (49);
0,003544805; (164);
0,003547895; (16);
0,003616190; (49);
0,003619300; (149);
0,003622400; (151);
0,003690425; (49);
0,003693510; (139);
0,003696600; (18);
0,003764855; (49);
0,003767960; (121);
0,003771060; (223);
0,003839845; (49);
0,003842965; (113);
0,003846100; (187);
0,003914690; (49);
0,003917800; (99);
0,003920910; (148);
0,003989400; (49);
0,003992525; (85);
0,003995635; (64);
0,004064225; (49);
0,004067325; (70);
0,004070425; (172);
0,004138610; (49);
0,004141690; (72);
0,004144770; (89);
0,004212580; (49);
0,004215650; (64);
0,004218730; (119);
0,004286865; (49);
0,004289955; (59);
0,004293055; (134);
0,004360935; (49);
0,004364010; (65);
0,004367090; (194);
0,004435260; (49);
0,004438350; (70);
0,004441450; (57);
0,004510070; (49);
0,004513180; (78);
0,004516310; (61);
0,004584580; (49);
0,004587650; (83);
0,004590720; (35);
0,004658610; (49);
0,004661710; (93);
0,004664810; (34);
0,004733215; (49);
0,004736320; (109);
0,004739430; (112);
0,004808115; (49);
0,004811225; (120);
0,004814350; (101);
0,004882695; (49);
0,004885795; (130);
0,004888895; (222);
0,004957500; (49);
0,004960625; (147);
0,004963740; (255);
0,005032105; (49);
0,005035205; (165);
0,005038305; (183);
0,005106535; (49);
0,005109615; (177);
0,005112695; (62);
0,005180775; (49);
0,005183885; (184);
0,005186990; (74);
0,005255545; (49);
0,005258645; (187);
0,005261740; (126);
0,005330005; (49);
0,005333105; (194);
0,005336200; (250);
0,005404040; (49);
0,005407115; (194);
0,005410195; (191);
0,005478330; (49);
0,005481430; (196);
0,005484530; (130);
0,005552395; (49);
0,005555470; (194);
0,005558550; (69);
0,005626665; (49);
0,005629765; (190);
0,005632865; (225);
0,005701410; (49);
0,005704535; (180);
0,005707660; (181);
0,005776375; (49);
0,005779475; (175);
0,005782575; (25);
0,005850950; (49);
0,005854075; (161);
0,005857195; (248);
0,005925995; (49);
0,005929105; (147);
0,005932205; (188);
0,006000630; (49);
0,006003740; (129);
0,006006835; (169);
0,006074835; (49);
0,006077925; (121);
0,006081025; (70);
0,006149390; (49);
0,006152495; (105);
0,006155595; (163);
0,006223755; (49);
0,006226845; (94);
0,006229935; (12);
0,006298375; (49);
0,006301480; (84);
0,006304600; (81);
0,006373345; (49);
0,006376470; (77);
0,006379595; (101);
0,006448250; (49);
0,006451360; (68);
0,006454465; (50);
0,006522980; (49);
0,006526100; (62);
0,006529215; (161);
0,006597655; (49);
0,006600755; (73);
0,006603850; (149);
0,006672075; (49);
0,006675165; (78);
0,006678255; (164);
0,006746075; (49);
0,006749155; (86);
0,006752235; (247);
0,006820370; (49);
0,006823460; (93);
0,006826560; (45);
0,006894615; (49);
0,006897705; (104);
0,006900795; (37);
0,006969070; (49);
0,006972180; (116);
0,006975280; (94);
0,007043935; (49);
0,007047060; (126);
0,007050180; (76);
0,007118890; (49);
0,007121990; (140);
0,007125080; (47);
0,007193475; (49);
0,007196585; (162);
0,007199710; (32);
0,007268450; (49);
0,007271550; (173);
0,007274640; (27);
0,007342880; (49);
0,007345970; (183);
0,007349060; (180);
0,007416880; (49);
0,007419960; (191);
0,007423045; (65);
0,007491170; (49);
0,007494270; (201);
0,007497370; (150);
0,007565420; (49);
0,007568515; (210);
0,007571605; (194);
0,007639870; (49);
0,007642980; (203);
0,007646090; (35);
0,007714805; (49);
0,007717930; (199);
0,007721065; (26);
0,007789940; (49);
0,007793040; (199);
0,007796150; (131);
0,007864655; (49);
0,007867775; (192);
0,007870890; (182);
0,007939355; (49);
0,007942445; (182);
0,007945545; (144);
0,008013805; (49);
0,008016905; (174);
0,008020000; (192);
0,008087845; (49);
0,008090920; (161);
0,008094000; (244);
0,008162120; (49);
0,008165215; (144);
0,008168315; (255);
0,008236430; (49);
0,008239530; (135);
0,008242620; (31);
0,008310965; (49);
0,008314075; (120);
0,008317175; (67);
0,008385955; (49);
0,008389075; (110);
0,008392200; (224);
0,008460630; (49);
0,008463710; (90);
0,008466800; (48);
0,008534845; (49);
0,008537955; (85);
0,008541050; (144);
0,008609620; (49);
0,008612730; (76);
0,008615840; (178);
0,008684570; (49);
0,008687695; (71);
0,008690815; (37);
0,008759310; (49);
0,008762420; (70);
0,008765520; (173);
0,008834060; (49);
0,008837185; (73);
0,008840295; (44);
0,008908660; (49);
0,008911750; (75);
0,008914845; (74);
0,008983365; (49);
0,008986485; (86);
0,008989595; (199);
0,009058470; (49);
0,009061605; (89);
0,009064725; (16);
0,009133125; (49);
0,009136215; (108);
0,009139295; (131);
0,009207360; (49);
0,009210455; (119);
0,009213565; (66);
0,009282060; (49);
0,009285150; (124);
0,009288240; (119);
0,009356310; (49);
0,009359390; (145);
0,009362470; (186);
0,009430140; (49);
0,009433200; (156);
0,009436290; (94);
0,009504320; (49);
0,009507390; (171);
0,009510450; (112);
0,009578220; (49);
0,009581315; (181);
0,009584405; (65);
0,009652765; (49);
0,009655875; (194);
0,009658975; (132);
0,009727780; (49);
0,009730915; (177);
0,009734050; (108);
0,009802635; (49);
0,009805745; (175);
0,009808855; (119);
0,009877305; (49);
0,009880405; (170);
0,009883530; (138);
0,009951670; (49);
0,009954765; (173);
0,009957855; (199);
0,010026245; (49);
0,010029370; (167);
0,010032470; (158);
0,010100660; (49);
0,010103750; (160);
0,010106845; (162);
0,010175285; (49);
0,010178395; (155);
0,010181495; (142);
0,010250145; (49);
0,010253255; (148);
0,010256380; (137);
0,010324955; (49);
0,010328045; (130);
0,010331140; (237);
0,010399485; (49);
0,010402610; (110);
0,010405725; (251);
0,010474135; (49);
0,010477225; (102);
0,010480310; (113);
0,010548515; (49);
0,010551630; (93);
0,010554745; (44);
0,010623385; (49);
0,010626510; (80);
0,010629610; (170);
0,010698330; (49);
0,010701455; (66);
0,010704595; (234);
0,010773090; (49);
0,010776200; (64);
0,010779290; (79);
0,010847845; (49);
0,010850960; (59);
0,010854080; (91);
0,010922440; (49);
0,010925540; (53);
0,010928630; (236);
0,010997035; (49);
0,011000125; (58);
0,011003215; (92);
0,011071450; (49);
0,011074560; (63);
0,011077675; (126);
0,011146375; (49);
0,011149485; (72);
0,011152595; (69);
0,011221090; (49);
0,011224215; (75);
0,011227335; (244);
0,011295635; (49);
0,011298725; (85);
0,011301815; (192);
0,011370225; (49);
0,011373340; (103);
0,011376450; (145);
0,011444620; (49);
0,011447710; (111);
0,011450810; (213);
0,011519265; (49);
0,011522380; (123);
0,011525490; (118);
0,011593685; (49);
0,011596775; (139);
0,011599865; (155);
0,011668365; (49);
0,011671485; (151);
0,011674600; (200);
0,011743535; (49);
0,011746670; (165);
0,011749800; (110);
0,011818375; (49);
0,011821470; (177);
0,011824560; (68);
0,011892790; (49);
0,011895900; (190);
0,011899000; (88);
0,011967655; (49);
0,011970755; (187);
0,011973855; (211);
0,012042075; (49);
0,012045165; (188);
0,012048255; (69);
0,012116075; (49);
0,012119155; (191);
0,012122255; (135);
0,012190470; (49);
0,012193550; (193);
0,012196630; (47);
0,012264440; (49);
0,012267525; (188);
0,012270595; (25);
0,012338805; (49);
0,012341880; (176);
0,012344960; (243);
0,012412865; (49);
0,012415965; (169);
0,012419065; (230);
0,012487470; (49);
0,012490565; (154);
0,012493655; (148);
0,012561745; (49);
0,012564840; (147);
0,012567930; (61);
0,012635885; (49);
0,012638975; (128);
0,012642065; (90);
0,012710260; (49);
0,012713350; (120);
0,012716450; (181);
0,012784335; (49);
0,012787410; (108);
0,012790480; (247);
0,012858675; (49);
0,012861765; (92);
0,012864865; (50);
0,012933490; (49);
0,012936615; (75);
0,012939735; (155);
0,013008010; (49);
0,013011080; (74);
0,013014155; (21);
0,013082040; (49);
0,013085140; (69);
0,013088240; (139);
0,013156720; (49);
0,013159835; (61);
0,013162955; (132);
0,013232000; (49);
0,013235145; (69);
0,013238290; (68);
0,013307105; (49);
0,013310230; (74);
0,013313340; (69);
0,013382220; (49);
0,013385350; (77);
0,013388490; (155);
0,013457160; (49);
0,013460270; (81);
0,013463375; (179);
0,013531745; (49);
0,013534835; (91);
0,013537925; (171);
0,013606185; (49);
0,013609305; (107);
0,013612415; (96);
0,013681045; (49);
0,013684135; (118);
0,013687230; (243);
0,013755630; (49);
0,013758740; (132);
0,013761865; (199);
0,013830740; (49);
0,013833840; (146);
0,013836955; (193);
0,013905525; (49);
0,013908650; (164);
0,013911755; (16);
0,013979910; (49);
0,013982990; (170);
0,013986070; (227);
0,014054310; (49);
0,014057410; (162);
0,014060515; (216);
0,014128525; (49);
0,014131605; (175);
0,014134695; (183);
0,014202965; (49);
0,014206075; (182);
0,014209175; (88);
0,014277685; (49);
0,014280805; (182);
0,014283920; (182);
0,014352610; (49);
0,014355710; (201);
0,014358810; (91);
0,014427195; (49);
0,014430310; (197);
0,014433420; (98);
0,014502215; (49);
0,014505320; (192);
0,014508420; (185);
0,014576875; (49);
0,014579985; (186);
0,014583100; (126);
0,014651235; (49);
0,014654330; (180);
0,014657420; (189);
0,014725820; (49);
0,014728935; (168);
0,014732045; (128);
0,014800210; (49);
0,014803300; (134);
0,014806390; (201);
0,014874835; (49);
0,014877950; (117);
0,014881060; (82);
0,014949430; (49);
0,014952530; (110);
0,014955635; (89);
0,015024015; (49);
0,015027100; (97);
0,015030190; (195);
0,015098410; (49);
0,015101510; (99);
0,015104625; (145);
0,015173335; (49);
0,015176430; (86);
0,015179540; (159);
0,015247950; (49);
0,015251050; (79);
0,015254155; (151);
0,015322145; (49);
0,015325225; (76);
0,015328315; (79);
0,015396535; (49);
0,015399640; (69);
0,015402740; (208);
0,015470895; (49);
0,015473985; (75);
0,015477075; (164);
0,015545445; (49);
0,015548550; (62);
0,015551660; (22);
0,015620310; (49);
0,015623420; (67);
0,015626545; (219);
0,015694970; (49);
0,015698070; (76);
0,015701160; (171);
0,015769560; (49);
0,015772675; (94);
0,015775800; (246);
0,015844600; (49);
0,015847705; (123);
0,015850815; (43);
0,015919230; (49);
0,015922335; (121);
0,015925445; (128);
0,015993445; (49);
0,015996535; (120);
0,015999625; (105);
0,016067930; (49);
0,016071030; (143);
0,016074135; (178);
0,016142155; (49);
0,016145245; (156);
0,016148335; (174);
0,016216680; (49);
0,016219780; (166);
0,016222890; (210);
0,016291405; (49);
0,016294530; (197);
0,016297640; (251);
0,016366365; (49);
0,016369455; (205);
0,016372550; (115);
0,016440885; (49);
0,016444010; (205);
0,016447125; (86);
0,016515550; (49);
0,016518640; (211);
0,016521730; (152);
0,016589860; (49);
0,016592960; (213);
0,016596060; (120);
0,016664095; (49);
0,016667190; (203);
0,016670280; (243);
0,016738575; (49);
0,016741685; (195);
0,016744785; (122);
0,016812820; (49);
0,016815905; (179);
0,016818985; (197);
0,016887260; (49);
0,016890365; (175);
0,016893465; (9);
0,016962185; (49);
0,016965305; (164);
0,016968440; (61);
0,017037385; (49);
0,017040485; (146);
0,017043610; (204);
0,017112265; (49);
0,017115400; (130);
0,017118525; (78);
0,017186965; (49);
0,017190045; (122);
0,017193125; (162);
0,017261060; (49);
0,017264150; (106);
0,017267230; (248);
0,017335155; (49);
0,017338245; (90);
0,017341330; (239);
0,017409530; (49);
0,017412630; (84);
0,017415730; (253);
0,017483780; (49);
0,017486870; (79);
0,017489960; (124);
0,017558235; (49);
0,017561335; (73);
0,017564445; (153);
0,017633175; (49);
0,017636290; (70);
0,017639415; (164);
0,017708295; (49);
0,017711405; (72);
0,017714505; (4);
0,017783010; (49);
0,017786135; (77);
0,017789245; (126);
0,017857675; (49);
0,017860775; (88);
0,017863875; (32);
0,017932070; (49);
0,017935150; (87);
0,017938230; (91);
0,018006020; (49);
0,018009100; (106);
0,018012190; (15);
0,018080385; (49);
0,018083485; (113);
0,018086575; (84);
0,018154445; (49);
0,018157525; (126);
0,018160600; (61);
0,018228785; (49);
0,018231885; (140);
0,018234985; (180);
0,018303590; (49);
0,018306715; (158);
0,018309835; (218);
0,018378275; (49);
0,018381375; (167);
0,018384475; (189);
0,018452805; (49);
0,018455915; (173);
0,018459015; (195);
0,018527315; (49);
0,018530415; (192);
0,018533515; (91);
0,018602070; (49);
0,018605185; (198);
0,018608295; (77);
0,018676640; (49);
0,018679740; (202);
0,018682835; (244);
0,018751375; (49);
0,018754485; (204);
0,018757615; (212);
0,018825970; (49);
0,018829070; (210);
0,018832165; (76);
0,018900540; (49);
0,018903635; (204);
0,018906725; (22);
0,018974955; (49);
0,018978070; (190);
0,018981190; (15);
0,019049910; (49);
0,019053015; (185);
0,019056115; (44);
0,019124640; (49);
0,019127765; (156);
0,019130910; (99);
0,019199805; (49);
0,019202915; (77);
0,019206010; (201);
0,019274370; (49);
0,019277465; (68);
0,019280550; (48);
0,019348505; (49);
0,019351590; (56);
0,019354680; (155);
0,019422970; (49);
0,019426075; (50);
0,019429185; (108);
0,019497350; (49);
0,019500440; (40);
0,019503530; (74);
0,019571945; (49);
0,019575070; (40);
0,019578180; (101);
0,019647000; (49);
0,019650125; (44);
0,019653260; (215);
0,019721845; (49);
0,019724945; (52);
0,019728055; (75);
0,019796590; (49);
0,019799730; (46);
0,019802855; (87);
0,019871745; (49);
0,019874845; (51);
0,019877950; (178);
0,019946300; (49);
0,019949395; (61);
0,019952485; (53);
0,020020445; (49);
0,020023525; (66);
0,020026615; (227);
0,020094910; (49);
0,020098020; (68);
0,020101120; (35);
0,020169340; (49);
0,020172435; (80);
0,020175525; (132);
0,020243965; (49);
0,020247075; (96);
0,020250190; (166);
0,020318950; (49);
0,020322070; (107);
0,020325195; (59);
0,020393920; (49);
0,020397030; (116);
0,020400125; (173);
0,020468640; (49);
0,020471760; (135);
0,020474875; (60);
0,020543330; (49);
0,020546430; (145);
0,020549530; (217);
0,020617750; (49);
0,020620840; (163);
0,020623930; (132);
0,020691745; (49);
0,020694820; (168);
0,020697900; (43);
0,020765965; (49);
0,020769065; (186);
0,020772165; (67);
0,020840215; (49);
0,020843305; (187);
0,020846395; (223);
0,020914670; (49);
0,020917770; (191);
0,020920875; (139);
0,020989595; (49);
0,020992720; (176);
0,020995840; (164);
0,021064720; (49);
0,021067820; (135);
0,021070925; (227);
0,021139480; (49);
0,021142590; (129);
0,021145720; (220);
0,021214560; (49);
0,021217660; (125);
0,021220765; (98);
0,021289155; (49);
0,021292255; (117);
0,021295345; (6);
0,021363320; (49);
0,021366405; (104);
0,021369490; (190);
0,021437730; (49);
0,021440835; (90);
0,021443935; (195);
0,021512090; (49);
0,021515180; (80);
0,021518270; (56);
0,021586635; (49);
0,021589740; (68);
0,021592850; (12);
0,021661595; (49);
0,021664735; (59);
0,021667860; (144);
0,021736575; (49);
0,021739680; (57);
0,021742790; (89);
0,021811320; (49);
0,021814450; (44);
0,021817580; (75);
0,021886400; (49);
0,021889505; (48);
0,021892615; (160);
0,021961020; (49);
0,021964130; (50);
0,021967235; (154);
0,022035225; (49);
0,022038315; (47);
0,022041395; (178);
0,022109630; (49);
0,022112730; (54);
0,022115835; (114);
0,022183990; (49);
0,022187085; (61);
0,022190175; (193);
0,022258540; (49);
0,022261650; (68);
0,022264760; (126);
0,022333400; (49);
0,022336515; (78);
0,022339640; (88);
0,022408060; (49);
0,022411150; (88);
0,022414250; (26);
0,022482625; (49);
0,022485760; (97);
0,022488875; (65);
0,022557605; (49);
0,022560705; (109);
0,022563795; (139);
0,022632055; (49);
0,022635150; (123);
0,022638250; (23);
0,022706085; (49);
0,022709165; (140);
0,022712245; (92);
0,022780375; (49);
0,022783475; (154);
0,022786570; (200);
0,022854615; (49);
0,022857710; (164);
0,022860800; (215);
0,022929135; (49);
0,022932245; (168);
0,022935355; (30);
0,023003940; (49);
0,023007055; (184);
0,023010180; (235);
0,023078890; (49);
0,023081985; (193);
0,023085085; (223);
0,023153465; (49);
0,023156590; (186);
0,023159700; (245);
0,023228525; (49);
0,023231625; (189);
0,023234735; (209);
0,023303115; (49);
0,023306215; (191);
0,023309315; (167);
0,023377295; (49);
0,023380375; (179);
0,023383475; (39);
0,023451835; (49);
0,023454935; (170);
0,023458040; (180);
0,023526190; (49);
0,023529290; (164);
0,023532375; (123);
0,023600735; (49);
0,023603850; (153);
0,023606965; (102);
0,023675785; (49);
0,023678905; (141);
0,023682025; (224);
0,023750765; (49);
0,023753870; (125);
0,023756970; (68);
