Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765478442120826;-6389,760000;1765478442120826;;;0
1;1765478442120828;-6389,760000;1765478442120826;-6389,760000;1765478442120828;0
2;1765478442120831;-6389,760000;1765478442120826;6389,565000;1765478442120831;0
3;1765478442120832;-3327,870000;1765478442120832;6389,565000;1765478442120831;0
4;1765478442120833;-3327,870000;1765478442120832;4943,055000;1765478442120833;0
5;1765478442120834;-3327,090000;1765478442120834;4943,055000;1765478442120833;0
6;1765478442120835;-3329,040000;1765478442120835;6389,565000;1765478442120835;0
7;1765478442120836;-3331,185000;1765478442120836;6389,565000;1765478442120836;0
8;1765478442120838;-3331,185000;1765478442120838;6389,565000;1765478442120838;0
9;1765478442120839;-3331,965000;1765478442120839;6389,565000;1765478442120839;0
10;1765478442120840;-3331,965000;1765478442120839;6389,565000;1765478442120840;0
11;1765478442120841;-3331,770000;1765478442120841;6389,565000;1765478442120841;0
12;1765478442120842;-3328,260000;1765478442120842;6389,565000;1765478442120842;0
13;1765478442120843;-3334,305000;1765478442120843;6389,565000;1765478442120842;0
14;1765478442120846;-3331,380000;1765478442120846;6389,565000;1765478442120846;0
15;1765478442120847;-3330,210000;1765478442120847;6389,565000;1765478442120847;0
16;1765478442120848;-3331,185000;1765478442120848;6389,565000;1765478442120848;0
17;1765478442120849;-3330,405000;1765478442120849;6389,565000;1765478442120849;0
18;1765478442179119;-3931,785000;1765478442179119;6389,565000;1765478442120849;0
19;1765478442179121;-3931,785000;1765478442179119;6389,565000;1765478442179121;0
20;1765478442179122;-3330,210000;1765478442179122;6389,565000;1765478442179122;0
21;1765478442179123;-3330,405000;1765478442179123;6389,565000;1765478442179123;0
22;1765478442179124;-3328,845000;1765478442179124;6389,565000;1765478442179124;0
23;1765478442179125;-3330,210000;1765478442179125;6389,565000;1765478442179125;0
24;1765478442179126;-3329,040000;1765478442179126;-4684,290000;1765478442179126;0
25;1765478442179127;-3330,210000;1765478442179127;6389,565000;1765478442179127;0
26;1765478442179128;-3330,015000;1765478442179128;-4025,970000;1765478442179128;0
27;1765478442179129;-3330,600000;1765478442179129;6389,565000;1765478442179129;0
28;1765478442179130;-3329,040000;1765478442179130;6389,565000;1765478442179130;0
29;1765478442179131;-3328,260000;1765478442179131;6389,565000;1765478442179131;0
30;1765478442179132;-3326,505000;1765478442179132;6195,150000;1765478442179132;0
31;1765478442179133;-3326,505000;1765478442179132;6389,565000;1765478442179133;0
32;1765478442179134;-3330,600000;1765478442179134;6389,565000;1765478442179133;0
33;1765478442179144;-3330,210000;1765478442179144;6389,565000;1765478442179144;0
34;1765478442179145;-3328,065000;1765478442179145;6389,565000;1765478442179145;0
35;1765478442179146;-3329,040000;1765478442179146;6389,565000;1765478442179146;0
36;1765478442179147;-3330,210000;1765478442179147;6389,565000;1765478442179147;0
37;1765478442179148;-3329,040000;1765478442179148;6389,565000;1765478442179148;0
38;1765478442179149;-3330,600000;1765478442179149;6389,565000;1765478442179149;0
39;1765478442179150;-3330,210000;1765478442179150;6389,565000;1765478442179150;0
40;1765478442179151;-3328,845000;1765478442179151;6389,565000;1765478442179151;0
41;1765478442179152;-3329,040000;1765478442179152;6389,565000;1765478442179152;0
42;1765478442179153;-3329,235000;1765478442179153;6389,565000;1765478442179153;0
43;1765478442179154;-3331,380000;1765478442179154;6389,565000;1765478442179154;0
44;1765478442179155;-3330,600000;1765478442179155;6389,565000;1765478442179155;0
45;1765478442179156;-3330,600000;1765478442179155;6389,565000;1765478442179156;0
46;1765478442179162;-3328,650000;1765478442179162;6389,565000;1765478442179162;0
47;1765478442180637;-3931,785000;1765478442180637;6389,565000;1765478442179162;0
48;1765478442180641;-3931,785000;1765478442180637;6389,565000;1765478442180641;0
49;1765478442180643;-3333,525000;1765478442180643;6389,565000;1765478442180641;0
50;1765478442180644;-3333,525000;1765478442180643;6389,565000;1765478442180644;0
51;1765478442180646;-3332,160000;1765478442180646;6389,565000;1765478442180644;0
52;1765478442180647;-3332,160000;1765478442180646;6389,565000;1765478442180647;0
53;1765478442180648;-3330,210000;1765478442180648;6389,565000;1765478442180647;0
54;1765478442180649;-3330,210000;1765478442180648;6389,565000;1765478442180649;0
55;1765478442180651;-3328,650000;1765478442180651;6389,565000;1765478442180651;0
56;1765478442180652;-3330,600000;1765478442180652;6389,565000;1765478442180651;0
57;1765478442180653;-3330,600000;1765478442180652;6389,565000;1765478442180653;0
58;1765478442180657;-3333,330000;1765478442180657;6389,565000;1765478442180653;0
59;1765478442180658;-3333,330000;1765478442180657;6389,565000;1765478442180658;0
60;1765478442180659;-3330,210000;1765478442180659;6389,565000;1765478442180658;0
61;1765478442180660;-3330,210000;1765478442180659;6389,565000;1765478442180660;0
62;1765478442180661;-3331,185000;1765478442180661;6389,565000;1765478442180660;0
63;1765478442180662;-3331,185000;1765478442180661;6389,565000;1765478442180662;0
64;1765478442180672;-3330,015000;1765478442180672;6389,565000;1765478442180662;0
65;1765478442180673;-3330,015000;1765478442180672;6389,565000;1765478442180673;0
66;1765478442180674;-3334,305000;1765478442180674;6389,565000;1765478442180673;0
67;1765478442180676;-3334,305000;1765478442180674;6389,565000;1765478442180676;0
68;1765478442180677;-3330,210000;1765478442180677;6389,565000;1765478442180677;0
69;1765478442180678;-3329,820000;1765478442180678;6389,565000;1765478442180677;0
70;1765478442180679;-3329,820000;1765478442180678;6389,565000;1765478442180679;0
71;1765478442180680;-3330,210000;1765478442180680;6389,565000;1765478442180679;0
72;1765478442180681;-3330,210000;1765478442180680;6389,565000;1765478442180681;0
73;1765478442180682;-3328,260000;1765478442180682;6389,565000;1765478442180681;0
74;1765478442180683;-3328,260000;1765478442180682;6389,565000;1765478442180683;0
75;1765478442180684;-3332,745000;1765478442180684;6389,565000;1765478442180683;0
76;1765478442180685;-3332,745000;1765478442180684;6389,565000;1765478442180685;0
77;1765478442180689;-3331,185000;1765478442180689;6389,565000;1765478442180685;0
78;1765478442180690;-3331,185000;1765478442180689;6389,565000;1765478442180690;0
79;1765478442180693;-3324,360000;1765478442180693;6389,565000;1765478442180690;0
80;1765478442180694;-3324,360000;1765478442180693;6389,565000;1765478442180694;0
81;1765478442180696;-3330,210000;1765478442180696;6389,565000;1765478442180694;0
82;1765478442180697;-3330,210000;1765478442180696;6389,565000;1765478442180697;0
83;1765478442180698;-3330,600000;1765478442180698;6389,565000;1765478442180697;0
84;1765478442180699;-3330,600000;1765478442180698;6389,565000;1765478442180699;0
85;1765478442180700;-3330,210000;1765478442180700;6389,565000;1765478442180699;0
86;1765478442180701;-3330,210000;1765478442180700;6389,565000;1765478442180701;0
87;1765478442180702;-3324,945000;1765478442180702;6389,565000;1765478442180701;0
88;1765478442180703;-3324,945000;1765478442180702;6389,565000;1765478442180703;0
89;1765478442180704;-3330,210000;1765478442180704;6389,565000;1765478442180703;0
90;1765478442180705;-3330,210000;1765478442180704;6389,565000;1765478442180705;0
