Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765476990334709;-649,545000;1765476990334709;;;0
1;1765476990334717;-649,545000;1765476990334709;177,840000;1765476990334717;0
2;1765476990334719;-561,210000;1765476990334719;177,840000;1765476990334717;0
3;1765476990334721;-561,210000;1765476990334719;157,560000;1765476990334721;0
4;1765476990334723;-561,210000;1765476990334719;341,055000;1765476990334723;0
5;1765476990334726;-417,105000;1765476990334726;341,055000;1765476990334723;0
6;1765476990334728;-417,105000;1765476990334726;329,550000;1765476990334728;0
7;1765476990334735;-652,665000;1765476990334735;329,550000;1765476990334728;0
8;1765476990334736;-652,665000;1765476990334735;232,440000;1765476990334736;0
9;1765476990334738;517,725000;1765476990334738;232,440000;1765476990334736;0
10;1765476990334740;517,725000;1765476990334738;619,710000;1765476990334740;0
11;1765476990334741;-582,270000;1765476990334741;619,710000;1765476990334740;0
12;1765476990334742;-582,270000;1765476990334741;167,310000;1765476990334742;0
13;1765476990334744;28,470000;1765476990334744;167,310000;1765476990334742;0
14;1765476990334745;28,470000;1765476990334744;-63,375000;1765476990334745;0
15;1765476990334746;36,855000;1765476990334746;-63,375000;1765476990334745;0
16;1765476990334748;36,855000;1765476990334746;297,375000;1765476990334748;0
17;1765476990334749;-30,225000;1765476990334749;297,375000;1765476990334748;0
18;1765476990334751;-30,225000;1765476990334749;-96,720000;1765476990334751;0
19;1765476990334752;-30,225000;1765476990334749;401,310000;1765476990334752;0
20;1765476990334754;251,550000;1765476990334754;401,310000;1765476990334752;0
21;1765476990334755;251,550000;1765476990334754;143,910000;1765476990334755;0
22;1765476990334757;-584,610000;1765476990334757;143,910000;1765476990334755;0
23;1765476990334758;-584,610000;1765476990334757;-83,070000;1765476990334758;0
24;1765476990334759;298,350000;1765476990334759;-83,070000;1765476990334758;0
25;1765476990334761;298,350000;1765476990334759;112,515000;1765476990334761;0
26;1765476990334762;-431,730000;1765476990334762;112,515000;1765476990334761;0
27;1765476990334763;-431,730000;1765476990334762;-8,580000;1765476990334763;0
28;1765476990334764;-142,740000;1765476990334764;-8,580000;1765476990334763;0
29;1765476990334765;-142,740000;1765476990334764;-532,155000;1765476990334765;0
30;1765476990334767;-895,050000;1765476990334767;-532,155000;1765476990334765;0
31;1765476990334768;-895,050000;1765476990334767;-846,690000;1765476990334768;0
32;1765476990334769;880,815000;1765476990334769;-846,690000;1765476990334768;0
33;1765476990334771;880,815000;1765476990334769;282,750000;1765476990334771;0
34;1765476990334772;880,815000;1765476990334769;784,485000;1765476990334772;0
35;1765476990334774;1835,340000;1765476990334774;784,485000;1765476990334772;0
36;1765476990334775;1835,340000;1765476990334774;738,465000;1765476990334775;0
37;1765476990334777;1056,900000;1765476990334777;738,465000;1765476990334775;0
38;1765476990334778;1056,900000;1765476990334777;238,095000;1765476990334778;0
39;1765476990334779;1451,775000;1765476990334779;238,095000;1765476990334778;0
40;1765476990334780;1451,775000;1765476990334779;497,055000;1765476990334780;0
41;1765476990334781;1616,940000;1765476990334781;497,055000;1765476990334780;0
42;1765476990334782;1616,940000;1765476990334781;453,180000;1765476990334782;0
43;1765476990334784;409,110000;1765476990334784;453,180000;1765476990334782;0
44;1765476990334785;409,110000;1765476990334784;-17,940000;1765476990334785;0
45;1765476990334786;1087,710000;1765476990334786;-17,940000;1765476990334785;0
46;1765476990334787;1087,710000;1765476990334786;94,965000;1765476990334787;0
47;1765476990334789;628,095000;1765476990334789;94,965000;1765476990334787;0
48;1765476990334790;628,095000;1765476990334789;0,975000;1765476990334790;0
49;1765476990334793;2136,030000;1765476990334793;0,975000;1765476990334790;0
50;1765476990334794;2136,030000;1765476990334793;812,175000;1765476990334794;0
51;1765476990334796;1874,535000;1765476990334796;812,175000;1765476990334794;0
52;1765476990334797;1874,535000;1765476990334796;267,150000;1765476990334797;0
53;1765476990334798;1521,390000;1765476990334798;267,150000;1765476990334797;0
54;1765476990334799;1521,390000;1765476990334798;-231,855000;1765476990334799;0
55;1765476990334801;1480,830000;1765476990334801;-231,855000;1765476990334799;0
56;1765476990334802;1480,830000;1765476990334801;-190,515000;1765476990334802;0
57;1765476990334803;2053,935000;1765476990334803;-190,515000;1765476990334802;0
58;1765476990334804;2053,935000;1765476990334803;622,830000;1765476990334804;0
59;1765476990334805;1822,860000;1765476990334805;622,830000;1765476990334804;0
60;1765476990334806;1822,860000;1765476990334805;16,575000;1765476990334806;0
61;1765476990334808;3136,575000;1765476990334808;16,575000;1765476990334806;0
62;1765476990334809;3136,575000;1765476990334808;571,935000;1765476990334809;0
63;1765476990334812;2222,415000;1765476990334812;571,935000;1765476990334809;0
64;1765476990334813;2222,415000;1765476990334812;240,630000;1765476990334813;0
65;1765476990334814;2624,700000;1765476990334814;240,630000;1765476990334813;0
66;1765476990334816;2624,700000;1765476990334814;609,375000;1765476990334816;0
67;1765476990334817;2865,915000;1765476990334817;609,375000;1765476990334816;0
68;1765476990334818;2865,915000;1765476990334817;476,190000;1765476990334818;0
69;1765476990334819;3714,945000;1765476990334819;476,190000;1765476990334818;0
70;1765476990334820;3714,945000;1765476990334819;746,655000;1765476990334820;0
71;1765476990334822;3286,530000;1765476990334822;746,655000;1765476990334820;0
72;1765476990334823;3286,530000;1765476990334822;478,530000;1765476990334823;0
73;1765476990334824;-34,125000;1765476990334824;478,530000;1765476990334823;0
74;1765476990334825;-34,125000;1765476990334824;740,610000;1765476990334825;0
75;1765476990334826;-822,120000;1765476990334826;740,610000;1765476990334825;0
76;1765476990334828;-822,120000;1765476990334826;216,645000;1765476990334828;0
77;1765476990393976;-3918,915000;1765476990393976;216,645000;1765476990334828;0
78;1765476990393981;-3918,915000;1765476990393976;-260,130000;1765476990393981;0
79;1765476990393983;-3918,915000;1765476990393976;747,435000;1765476990393983;0
