Event;ts_us;ch1_idx;ch2_idx
ON;1765471045340777;4122;4321
OFF;1765471045341273;4122;4321
ON;1765471046238117;4899;5134
OFF;1765471046238432;4899;5134
ON;1765471047200806;5717;5987
OFF;1765471047201176;5717;5987
ON;1765471049179647;7347;7692
OFF;1765471049180786;7347;7692
ON;1765471050142533;8168;8549
OFF;1765471050143440;8168;8549
ON;1765471052063954;9804;10261
OFF;1765471052064935;9804;10261
ON;1765471053078404;10585;11072
OFF;1765471053080357;10585;11072
ON;1765471055961392;13034;13630
OFF;1765471055961880;13034;13630
ON;1765471060940328;17071;17852
OFF;1765471060940798;17071;17852
ON;1765471061840189;17888;18705
OFF;1765471061840433;17888;18705
ON;1765471063766600;19525;20414
OFF;1765471063767375;19525;20414
ON;1765471064779029;20303;21228
OFF;1765471064781195;20303;21228
ON;1765471086285085;21941;22945
OFF;1765471086285883;21941;22945
ON;1765471086291168;23581;24663
OFF;1765471086291350;23581;24663
ON;1765471086299462;24397;25515
OFF;1765471086309246;24397;25515
ON;1765471086310934;26007;27185
OFF;1765471086311181;26007;27185
ON;1765471086313115;27645;28886
OFF;1765471086313296;27645;28886
ON;1765471086314205;28428;29701
OFF;1765471086314422;28428;29701
ON;1765471086316313;30064;31404
OFF;1765471086316457;30064;31404
ON;1765471086317472;30885;32258
OFF;1765471086317575;30885;32258
ON;1765471086319534;32491;33931
OFF;1765471086319712;32491;33931
ON;1765471086321553;34127;35642
OFF;1765471086321728;34127;35642
ON;1765471086322619;34946;36495
OFF;1765471086324164;34946;36495
ON;1765471086329204;36591;38208
OFF;1765471086329306;36591;38208
ON;1765471087160560;39010;40730
OFF;1765471087163868;39010;40730
ON;1765471089144668;40649;42441
OFF;1765471089145548;40649;42441
ON;1765471090097648;41434;43258
OFF;1765471090100259;41473;43298
ON;1765471092078687;43068;44965
OFF;1765471092079191;43068;44965
ON;1765471093997991;44696;46671
OFF;1765471093998359;44696;46671
ON;1765471095018950;45513;47524
OFF;1765471095019307;45513;47524
ON;1765471096938382;47112;49193
OFF;1765471096941763;47112;49193
ON;1765471098860965;48746;50903
OFF;1765471098861420;48746;50903
ON;1765471099819175;49569;51757
OFF;1765471099820031;49569;51757
ON;1765471101803095;51209;53472
OFF;1765471101803463;51209;53472
