Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765795438385880;-1579,890000;1765795438385880;;;0
1;1765795438385885;-1579,890000;1765795438385880;-414,180000;1765795438385885;0
2;1765795438385941;-1527,240000;1765795438385941;-414,180000;1765795438385885;0
3;1765795438385942;-1527,240000;1765795438385941;-644,085000;1765795438385942;0
4;1765795438386691;-1557,465000;1765795438386691;-644,085000;1765795438385942;0
5;1765795438386692;-1557,465000;1765795438386691;-271,440000;1765795438386692;0
6;1765795438387043;-1468,740000;1765795438387043;-271,440000;1765795438386692;0
7;1765795438387044;-1468,740000;1765795438387043;-669,435000;1765795438387044;0
8;1765795438388153;-1664,520000;1765795438388153;-669,435000;1765795438387044;0
9;1765795438388155;-1664,520000;1765795438388153;-819,780000;1765795438388155;0
10;1765795438435360;-1352,130000;1765795438435360;-819,780000;1765795438388155;0
11;1765795438435362;-1352,130000;1765795438435360;-208,065000;1765795438435362;0
12;1765795438435533;-797,940000;1765795438435533;-208,065000;1765795438435362;0
13;1765795438435535;-797,940000;1765795438435533;190,710000;1765795438435535;0
14;1765795438435659;-945,945000;1765795438435659;190,710000;1765795438435535;0
15;1765795438435660;-945,945000;1765795438435659;126,945000;1765795438435660;0
16;1765795438436296;-1144,260000;1765795438436296;126,945000;1765795438435660;0
17;1765795438436298;-1144,260000;1765795438436296;98,670000;1765795438436298;0
18;1765795438436886;-930,735000;1765795438436886;98,670000;1765795438436298;0
19;1765795438436887;-930,735000;1765795438436886;251,550000;1765795438436887;0
20;1765795438438471;-930,735000;1765795438436886;53,820000;1765795438438471;0
21;1765795438438555;-1127,295000;1765795438438555;53,820000;1765795438438471;0
22;1765795438438557;-1127,295000;1765795438438555;214,695000;1765795438438557;0
23;1765795438438718;-1309,425000;1765795438438718;214,695000;1765795438438557;0
24;1765795438438719;-1309,425000;1765795438438718;57,135000;1765795438438719;0
25;1765795438439009;-1366,170000;1765795438439009;57,135000;1765795438438719;0
26;1765795438439011;-1366,170000;1765795438439009;167,505000;1765795438439011;0
27;1765795438443400;-1501,305000;1765795438443400;167,505000;1765795438439011;0
28;1765795438443404;-1501,305000;1765795438443400;138,255000;1765795438443404;0
29;1765795438443889;-1264,965000;1765795438443889;138,255000;1765795438443404;0
30;1765795438443892;-1264,965000;1765795438443889;262,470000;1765795438443892;0
31;1765795438445235;-1500,720000;1765795438445235;262,470000;1765795438443892;0
32;1765795438445237;-1500,720000;1765795438445235;165,750000;1765795438445237;0
33;1765795438445369;-1433,250000;1765795438445369;165,750000;1765795438445237;0
34;1765795438445370;-1433,250000;1765795438445369;169,065000;1765795438445370;0
35;1765795438445447;-1433,250000;1765795438445369;118,365000;1765795438445447;0
36;1765795438445491;-1395,225000;1765795438445491;118,365000;1765795438445447;0
37;1765795438445492;-1395,225000;1765795438445491;114,270000;1765795438445492;0
38;1765795438445609;-1224,990000;1765795438445609;114,270000;1765795438445492;0
39;1765795438445613;-1224,990000;1765795438445609;231,855000;1765795438445613;0
40;1765795438445755;-1224,990000;1765795438445609;-6189,105000;1765795438445755;0
41;1765795438445839;-1482,975000;1765795438445839;-6189,105000;1765795438445755;0
42;1765795438445841;-1482,975000;1765795438445839;154,830000;1765795438445841;0
43;1765795438445985;-1654,770000;1765795438445985;154,830000;1765795438445841;0
44;1765795438445986;-1654,770000;1765795438445985;-738,075000;1765795438445986;0
45;1765795438446047;-1280,955000;1765795438446047;-738,075000;1765795438445986;0
46;1765795438446048;-1280,955000;1765795438446047;-675,675000;1765795438446048;0
47;1765795438446134;-1119,300000;1765795438446134;-675,675000;1765795438446048;0
48;1765795438446137;-1119,300000;1765795438446134;-256,035000;1765795438446137;0
49;1765795438446309;-1119,300000;1765795438446134;-635,700000;1765795438446309;0
50;1765795438449512;-1119,300000;1765795438446134;-478,335000;1765795438449512;0
51;1765795438449553;-825,825000;1765795438449553;-478,335000;1765795438449512;0
52;1765795438449555;-825,825000;1765795438449553;-738,465000;1765795438449555;0
53;1765795438449764;-861,315000;1765795438449764;-738,465000;1765795438449555;0
54;1765795438449765;-861,315000;1765795438449764;-715,650000;1765795438449765;0
55;1765795438494794;-805,155000;1765795438494794;-715,650000;1765795438449765;0
56;1765795438494796;-805,155000;1765795438494794;-185,250000;1765795438494796;0
57;1765795438494966;-359,970000;1765795438494966;-185,250000;1765795438494796;0
58;1765795438494967;-359,970000;1765795438494966;118,365000;1765795438494967;0
59;1765795438495262;-183,105000;1765795438495262;118,365000;1765795438494967;0
60;1765795438495264;-183,105000;1765795438495262;266,175000;1765795438495264;0
61;1765795438496131;-181,155000;1765795438496131;266,175000;1765795438495264;0
62;1765795438496132;-181,155000;1765795438496131;251,160000;1765795438496132;0
63;1765795438496381;-247,845000;1765795438496381;251,160000;1765795438496132;0
64;1765795438496382;-247,845000;1765795438496381;216,255000;1765795438496382;0
65;1765795438496929;-350,415000;1765795438496929;216,255000;1765795438496382;0
66;1765795438496930;-350,415000;1765795438496929;158,145000;1765795438496930;0
67;1765795438497614;300,690000;1765795438497614;158,145000;1765795438496930;0
68;1765795438497616;300,690000;1765795438497614;457,470000;1765795438497616;0
69;1765795438497990;170,430000;1765795438497990;457,470000;1765795438497616;0
70;1765795438497991;170,430000;1765795438497990;304,005000;1765795438497991;0
71;1765795438498616;-166,530000;1765795438498616;304,005000;1765795438497991;0
72;1765795438498617;-166,530000;1765795438498616;390,000000;1765795438498617;0
73;1765795438499147;-6,630000;1765795438499147;390,000000;1765795438498617;0
74;1765795438499148;-6,630000;1765795438499147;359,775000;1765795438499148;0
75;1765795438500168;-154,050000;1765795438500168;359,775000;1765795438499148;0
76;1765795438500169;-154,050000;1765795438500168;232,830000;1765795438500169;0
77;1765795438500370;-351,780000;1765795438500370;232,830000;1765795438500169;0
78;1765795438500373;-351,780000;1765795438500370;124,215000;1765795438500373;0
79;1765795438500895;-155,220000;1765795438500895;124,215000;1765795438500373;0
80;1765795438500896;-155,220000;1765795438500895;326,430000;1765795438500896;0
81;1765795438501589;-193,440000;1765795438501589;326,430000;1765795438500896;0
82;1765795438501590;-193,440000;1765795438501589;183,105000;1765795438501590;0
83;1765795438502239;-439,140000;1765795438502239;183,105000;1765795438501590;0
84;1765795438502240;-439,140000;1765795438502239;105,690000;1765795438502240;0
85;1765795438502788;-478,335000;1765795438502788;105,690000;1765795438502240;0
86;1765795438502790;-478,335000;1765795438502788;116,805000;1765795438502790;0
87;1765795438503467;-266,760000;1765795438503467;116,805000;1765795438502790;0
88;1765795438503468;-266,760000;1765795438503467;245,310000;1765795438503468;0
89;1765795438503733;-388,635000;1765795438503733;245,310000;1765795438503468;0
90;1765795438503734;-388,635000;1765795438503733;28,860000;1765795438503734;0
91;1765795438504500;-257,595000;1765795438504500;28,860000;1765795438503734;0
92;1765795438504501;-257,595000;1765795438504500;142,545000;1765795438504501;0
93;1765795438505074;-866,580000;1765795438505074;142,545000;1765795438504501;0
94;1765795438505076;-866,580000;1765795438505074;-838,305000;1765795438505076;0
95;1765795438505504;-179,010000;1765795438505504;-838,305000;1765795438505076;0
96;1765795438505505;-179,010000;1765795438505504;-405,795000;1765795438505505;0
97;1765795438506376;-765,570000;1765795438506376;-405,795000;1765795438505505;0
98;1765795438506382;-765,570000;1765795438506376;-812,370000;1765795438506382;0
99;1765795438506665;-197,730000;1765795438506665;-812,370000;1765795438506382;0
100;1765795438506667;-197,730000;1765795438506665;-246,090000;1765795438506667;0
101;1765795438507209;-569,010000;1765795438507209;-246,090000;1765795438506667;0
102;1765795438507212;-569,010000;1765795438507209;-696,150000;1765795438507212;0
103;1765795438508016;-569,010000;1765795438507209;-390,195000;1765795438508016;0
104;1765795438554548;-326,430000;1765795438554548;-390,195000;1765795438508016;0
105;1765795438554551;-326,430000;1765795438554548;-360,360000;1765795438554551;0
106;1765795438555758;577,980000;1765795438555758;-360,360000;1765795438554551;0
107;1765795438555761;577,980000;1765795438555758;290,550000;1765795438555761;0
108;1765795438555921;405,600000;1765795438555921;290,550000;1765795438555761;0
109;1765795438555923;405,600000;1765795438555921;186,615000;1765795438555923;0
