Event;ts_us;ch1_idx;ch2_idx
ON;1765478447395171;4361;4566
OFF;1765478447395571;4361;4566
ON;1765478448299267;5178;5414
OFF;1765478448300149;5178;5414
ON;1765478449258724;6001;6267
OFF;1765478449260021;6001;6267
ON;1765478450220546;6823;7124
OFF;1765478450221358;6823;7124
ON;1765478451235484;7609;7943
OFF;1765478451235914;7609;7943
ON;1765478452198783;8431;8796
OFF;1765478452199397;8431;8796
ON;1765478453159421;9248;9655
OFF;1765478453160047;9248;9655
ON;1765478454176750;10061;10511
OFF;1765478454177465;10061;10511
ON;1765478455140684;10879;11360
OFF;1765478455141253;10879;11360
