Event;ts_us;ch1_idx;ch2_idx
ON;1765470696484612;6115;6400
OFF;1765470696484794;6115;6400
ON;1765470697509805;6928;7250
OFF;1765470697510304;6928;7250
ON;1765470698407127;7747;8108
OFF;1765470698407541;7747;8108
ON;1765470700386594;9343;9769
OFF;1765470700448233;9381;9809
ON;1765470701344359;10162;10620
OFF;1765470701344644;10162;10620
ON;1765470703268593;11793;12325
OFF;1765470703269968;11793;12325
ON;1765470704284893;12613;13179
OFF;1765470704285281;12613;13179
ON;1765470706204522;14207;14842
OFF;1765470706204795;14207;14842
ON;1765470707168062;15023;15695
OFF;1765470707169542;15023;15695
ON;1765470709151025;16654;17404
OFF;1765470709154385;16654;17404
ON;1765470710107677;17466;18257
OFF;1765470710108535;17466;18257
ON;1765470712087538;19094;19963
OFF;1765470712088854;19094;19963
ON;1765470713047860;19911;20814
OFF;1765470713048667;19911;20814
ON;1765470714968332;21511;22479
OFF;1765470714968846;21511;22479
ON;1765470715984158;22326;23330
OFF;1765470715984434;22326;23330
ON;1765470717905285;23929;24999
OFF;1765470717908115;23968;25039
ON;1765470718868909;24742;25846
OFF;1765470718871699;24742;25846
ON;1765470720844914;26377;27558
OFF;1765470720845310;26377;27558
ON;1765470721927558;27197;28414
OFF;1765470721928020;27197;28414
ON;1765470723784946;28797;30084
OFF;1765470723786284;28797;30084
ON;1765470724746541;29611;30935
OFF;1765470724747103;29611;30935
ON;1765470726668232;31241;32636
OFF;1765470726670986;31241;32636
ON;1765470727689654;32065;33498
OFF;1765470727690309;32065;33498
ON;1765470728648349;32884;34352
OFF;1765470728648724;32884;34352
ON;1765470729605781;33665;35169
OFF;1765470729607465;33665;35169
ON;1765470732607268;36123;37727
OFF;1765470732607615;36123;37727
ON;1765470734469225;37714;39403
OFF;1765470734469832;37714;39403
ON;1765470735436139;38537;40254
OFF;1765470735436570;38537;40254
ON;1765470737406893;40170;41960
OFF;1765470737407409;40170;41960
ON;1765470759023542;40954;42776
OFF;1765470759023858;40954;42776
ON;1765470759028191;42599;44490
OFF;1765470759028419;42599;44490
ON;1765470759030657;43420;45348
OFF;1765470759030923;43420;45348
ON;1765470759038616;45024;47021
OFF;1765470759039521;45024;47021
ON;1765470759040227;45843;47878
OFF;1765470759040266;45843;47878
ON;1765470759041429;47491;49586
OFF;1765470759041544;47491;49586
ON;1765470759042080;48272;50400
OFF;1765470759042189;48272;50400
ON;1765470759043432;49905;52102
OFF;1765470759043536;49905;52102
ON;1765470759045082;52316;54624
OFF;1765470759045249;52316;54624
ON;1765470759046686;53962;56340
OFF;1765470759046816;53962;56340
