Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765480231180879;-1571,505000;1765480231180879;;;0
1;1765480231180881;-1571,505000;1765480231180879;308,295000;1765480231180881;0
2;1765480231180887;-2174,445000;1765480231180887;179,205000;1765480231180887;0
3;1765480231180993;-335,985000;1765480231180993;179,205000;1765480231180887;0
4;1765480231180994;-335,985000;1765480231180993;1062,750000;1765480231180994;0
5;1765480231181005;-756,015000;1765480231181005;1062,750000;1765480231180994;0
6;1765480231181006;-756,015000;1765480231181005;687,180000;1765480231181006;0
7;1765480231181115;-1588,080000;1765480231181115;687,180000;1765480231181006;0
8;1765480231181116;-1588,080000;1765480231181115;261,105000;1765480231181116;0
9;1765480231181121;-2233,530000;1765480231181121;-47,775000;1765480231181121;0
10;1765480231181134;-2428,530000;1765480231181134;214,110000;1765480231181134;0
11;1765480231181137;-1871,025000;1765480231181137;133,965000;1765480231181137;0
12;1765480231181192;-2748,915000;1765480231181192;-550,290000;1765480231181192;0
13;1765480231181195;-2085,135000;1765480231181195;-107,445000;1765480231181195;0
14;1765480231181259;-1833,000000;1765480231181259;-107,445000;1765480231181195;0
15;1765480231181260;-1833,000000;1765480231181259;-91,455000;1765480231181260;0
16;1765480231181262;-1543,620000;1765480231181262;-95,745000;1765480231181262;0
17;1765480231181324;-919,425000;1765480231181324;-95,745000;1765480231181262;0
18;1765480231181325;-919,425000;1765480231181324;197,340000;1765480231181325;0
19;1765480231181327;-2341,170000;1765480231181327;-379,860000;1765480231181327;0
20;1765480231181334;-2171,325000;1765480231181334;-379,860000;1765480231181327;0
21;1765480231181335;-2171,325000;1765480231181334;-322,725000;1765480231181335;0
22;1765480231181535;-696,930000;1765480231181535;-322,725000;1765480231181335;0
23;1765480231181536;-696,930000;1765480231181535;573,690000;1765480231181536;0
24;1765480231181598;-1465,425000;1765480231181598;573,690000;1765480231181536;0
25;1765480231181599;-1465,425000;1765480231181598;106,860000;1765480231181599;0
26;1765480231181642;-1468,740000;1765480231181642;65,715000;1765480231181642;0
27;1765480231181761;-1963,065000;1765480231181761;-239,265000;1765480231181761;0
28;1765480231182283;-636,480000;1765480231182283;-239,265000;1765480231181761;0
29;1765480231182284;-636,480000;1765480231182283;584,805000;1765480231182284;0
30;1765480231183006;-1967,745000;1765480231183006;584,805000;1765480231182284;0
31;1765480231183007;-1967,745000;1765480231183006;-131,235000;1765480231183007;0
32;1765480231183343;-1724,970000;1765480231183343;-131,235000;1765480231183007;0
33;1765480231183344;-1724,970000;1765480231183343;160,095000;1765480231183344;0
34;1765480231184073;-1041,300000;1765480231184073;160,095000;1765480231183344;0
35;1765480231184074;-1041,300000;1765480231184073;458,055000;1765480231184074;0
36;1765480231184356;-425,880000;1765480231184356;458,055000;1765480231184074;0
37;1765480231184357;-425,880000;1765480231184356;611,325000;1765480231184357;0
38;1765480231185060;-653,640000;1765480231185060;611,325000;1765480231184357;0
39;1765480231185061;-653,640000;1765480231185060;616,590000;1765480231185061;0
40;1765480231185525;-1190,280000;1765480231185525;616,590000;1765480231185061;0
41;1765480231185526;-1190,280000;1765480231185525;181,935000;1765480231185526;0
42;1765480231186822;-1216,020000;1765480231186822;181,935000;1765480231185526;0
43;1765480231186823;-1216,020000;1765480231186822;-70,785000;1765480231186823;0
44;1765480231187115;-969,345000;1765480231187115;-70,785000;1765480231186823;0
45;1765480231187118;-969,345000;1765480231187115;133,965000;1765480231187118;0
46;1765480231227980;-1071,720000;1765480231227980;133,965000;1765480231187118;0
47;1765480231227987;-1071,720000;1765480231227980;146,835000;1765480231227987;0
48;1765480231228615;-927,030000;1765480231228615;146,835000;1765480231227987;0
49;1765480231228622;-927,030000;1765480231228615;328,575000;1765480231228622;0
50;1765480231229318;-258,765000;1765480231229318;328,575000;1765480231228622;0
51;1765480231229321;-258,765000;1765480231229318;949,455000;1765480231229321;0
52;1765480231229732;-1269,060000;1765480231229732;949,455000;1765480231229321;0
53;1765480231229736;-1269,060000;1765480231229732;344,370000;1765480231229736;0
54;1765480231229926;-1269,060000;1765480231229732;-146,835000;1765480231229926;0
55;1765480231230171;-1304,745000;1765480231230171;-146,835000;1765480231229926;0
56;1765480231230173;-1304,745000;1765480231230171;260,130000;1765480231230173;0
57;1765480231230207;-1002,690000;1765480231230207;260,130000;1765480231230173;0
58;1765480231230209;-1002,690000;1765480231230207;374,010000;1765480231230209;0
59;1765480231230534;-1556,880000;1765480231230534;374,010000;1765480231230209;0
60;1765480231230539;-1556,880000;1765480231230534;-25,545000;1765480231230539;0
61;1765480231231235;-1432,080000;1765480231231235;-25,545000;1765480231230539;0
62;1765480231231240;-1432,080000;1765480231231235;74,295000;1765480231231240;0
63;1765480231231758;-724,815000;1765480231231758;74,295000;1765480231231240;0
64;1765480231231762;-724,815000;1765480231231758;610,350000;1765480231231762;0
65;1765480231232393;419,835000;1765480231232393;610,350000;1765480231231762;0
66;1765480231232398;419,835000;1765480231232393;941,265000;1765480231232398;0
67;1765480231233206;348,270000;1765480231233206;941,265000;1765480231232398;0
68;1765480231233209;348,270000;1765480231233206;620,685000;1765480231233209;0
69;1765480231233406;-553,410000;1765480231233406;620,685000;1765480231233209;0
70;1765480231233408;-553,410000;1765480231233406;624,390000;1765480231233408;0
71;1765480231234216;407,355000;1765480231234216;624,390000;1765480231233408;0
72;1765480231234220;407,355000;1765480231234216;894,465000;1765480231234220;0
73;1765480231234941;-112,905000;1765480231234941;894,465000;1765480231234220;0
74;1765480231234942;-112,905000;1765480231234941;532,155000;1765480231234942;0
75;1765480231235328;-1089,465000;1765480231235328;532,155000;1765480231234942;0
76;1765480231235330;-1089,465000;1765480231235328;317,070000;1765480231235330;0
77;1765480231235921;-520,650000;1765480231235921;317,070000;1765480231235330;0
78;1765480231235924;-520,650000;1765480231235921;296,010000;1765480231235924;0
79;1765480231236249;1817,400000;1765480231236249;296,010000;1765480231235924;0
80;1765480231236252;1817,400000;1765480231236249;27,300000;1765480231236252;0
81;1765480231237268;2302,950000;1765480231237268;27,300000;1765480231236252;0
82;1765480231237270;2302,950000;1765480231237268;477,555000;1765480231237270;0
83;1765480231237640;2217,345000;1765480231237640;477,555000;1765480231237270;0
84;1765480231237644;2217,345000;1765480231237640;576,030000;1765480231237644;0
85;1765480231238179;2041,455000;1765480231238179;576,030000;1765480231237644;0
86;1765480231238181;2041,455000;1765480231238179;116,220000;1765480231238181;0
87;1765480231238510;2262,000000;1765480231238510;116,220000;1765480231238181;0
88;1765480231238513;2262,000000;1765480231238510;176,475000;1765480231238513;0
89;1765480231239348;1583,790000;1765480231239348;176,475000;1765480231238513;0
90;1765480231239350;1583,790000;1765480231239348;-312,195000;1765480231239350;0
91;1765480231239622;1583,790000;1765480231239348;-178,230000;1765480231239622;0
92;1765480231240495;2010,255000;1765480231240495;-178,230000;1765480231239622;0
93;1765480231240497;2010,255000;1765480231240495;16,185000;1765480231240497;0
94;1765480231240767;2237,235000;1765480231240767;16,185000;1765480231240497;0
95;1765480231240769;2237,235000;1765480231240767;-232,050000;1765480231240769;0
96;1765480231241561;2492,685000;1765480231241561;-232,050000;1765480231240769;0
