Event;ts_us;ch1_idx;ch2_idx
ON;1765476991714298;1169;1222
OFF;1765476991714978;1169;1222
ON;1765476992491797;1795;1875
OFF;1765476992492554;1795;1875
ON;1765476993454448;2613;2734
OFF;1765476993455032;2613;2734
ON;1765476994415743;3429;3590
OFF;1765476994416287;3429;3590
ON;1765476995432598;4251;4448
OFF;1765476995433447;4251;4448
ON;1765476996394537;5069;5303
OFF;1765476996395503;5069;5303
ON;1765476997354220;5891;6152
OFF;1765476997354684;5891;6152
ON;1765476998316964;6707;6999
OFF;1765476998317816;6707;6999
ON;1765476999336197;7522;7850
OFF;1765476999337191;7522;7850
ON;1765477000290571;8308;8664
OFF;1765477000291067;8308;8664
