Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765905670746342;;;1328,145000;1765905670746342;0
1;1765905670746346;1528,605000;1765905670746346;1328,145000;1765905670746342;0
2;1765905670746347;1528,605000;1765905670746346;1528,605000;1765905670746347;0
3;1765905670746349;1729,065000;1765905670746349;1528,605000;1765905670746347;0
4;1765905670746350;1729,065000;1765905670746349;1729,065000;1765905670746350;0
5;1765905670746351;1929,525000;1765905670746351;1729,065000;1765905670746350;0
6;1765905670746352;1929,525000;1765905670746351;1929,525000;1765905670746352;0
7;1765905670746353;2129,985000;1765905670746353;1929,525000;1765905670746352;0
8;1765905670746354;2129,985000;1765905670746353;2129,985000;1765905670746354;0
9;1765905670746356;2330,445000;1765905670746356;2330,445000;1765905670746356;0
10;1765905670746358;2530,905000;1765905670746358;2530,905000;1765905670746358;0
11;1765905670746360;2731,365000;1765905670746360;2731,365000;1765905670746360;0
12;1765905670746362;2931,825000;1765905670746362;2931,825000;1765905670746362;0
13;1765905670746364;3132,285000;1765905670746364;3132,285000;1765905670746364;0
14;1765905670746366;3332,745000;1765905670746366;3332,745000;1765905670746366;0
15;1765905670746368;3533,205000;1765905670746368;3533,205000;1765905670746368;0
16;1765905670746369;3733,665000;1765905670746369;3533,205000;1765905670746368;0
17;1765905670746370;3733,665000;1765905670746369;3733,665000;1765905670746370;0
18;1765905670746371;3934,125000;1765905670746371;3733,665000;1765905670746370;0
19;1765905670746372;3934,125000;1765905670746371;3934,125000;1765905670746372;0
20;1765905670746373;4134,585000;1765905670746373;3934,125000;1765905670746372;0
21;1765905670746374;4134,585000;1765905670746373;4134,585000;1765905670746374;0
22;1765905670746375;4335,045000;1765905670746375;4335,045000;1765905670746375;0
23;1765905670746377;4535,505000;1765905670746377;4535,505000;1765905670746377;0
24;1765905670746379;4735,965000;1765905670746379;4735,965000;1765905670746379;0
25;1765905670746380;4936,425000;1765905670746380;4735,965000;1765905670746379;0
26;1765905670746381;4936,425000;1765905670746380;4936,425000;1765905670746381;0
27;1765905670746382;5136,885000;1765905670746382;4936,425000;1765905670746381;0
28;1765905670746383;5136,885000;1765905670746382;5136,885000;1765905670746383;0
29;1765905670748259;5537,805000;1765905670748259;5136,885000;1765905670746383;0
30;1765905670748262;5537,805000;1765905670748259;5537,805000;1765905670748262;0
31;1765905670748263;5738,265000;1765905670748263;5537,805000;1765905670748262;0
32;1765905670748264;5738,265000;1765905670748263;5738,265000;1765905670748264;0
33;1765905670748265;5938,725000;1765905670748265;5738,265000;1765905670748264;0
34;1765905670748266;5938,725000;1765905670748265;5938,725000;1765905670748266;0
35;1765905670748267;6139,185000;1765905670748267;5938,725000;1765905670748266;0
36;1765905670748268;6139,185000;1765905670748267;6139,185000;1765905670748268;0
37;1765905670748269;6339,645000;1765905670748269;6139,185000;1765905670748268;0
38;1765905670748270;6339,645000;1765905670748269;6339,645000;1765905670748270;0
39;1765905670748271;-6289,335000;1765905670748271;6339,645000;1765905670748270;0
40;1765905670748272;-6289,335000;1765905670748271;-6289,335000;1765905670748272;0
41;1765905670748273;-6088,875000;1765905670748273;-6289,335000;1765905670748272;0
42;1765905670748274;-6088,875000;1765905670748273;-6088,875000;1765905670748274;0
43;1765905670748275;-5888,415000;1765905670748275;-6088,875000;1765905670748274;0
44;1765905670748276;-5888,415000;1765905670748275;-5888,415000;1765905670748276;0
45;1765905670748277;-5687,955000;1765905670748277;-5888,415000;1765905670748276;0
46;1765905670748278;-5687,955000;1765905670748277;-5687,955000;1765905670748278;0
47;1765905670748279;-5487,495000;1765905670748279;-5487,495000;1765905670748279;0
48;1765905670748281;-5287,035000;1765905670748281;-5287,035000;1765905670748281;0
49;1765905670748282;-5086,575000;1765905670748282;-5287,035000;1765905670748281;0
50;1765905670748283;-5086,575000;1765905670748282;-5086,575000;1765905670748283;0
51;1765905670748284;-4886,115000;1765905670748284;-4886,115000;1765905670748284;0
52;1765905670748286;-4685,655000;1765905670748286;-4886,115000;1765905670748284;0
53;1765905670748287;-4685,655000;1765905670748286;-4685,655000;1765905670748287;0
54;1765905670748288;-4485,195000;1765905670748288;-4685,655000;1765905670748287;0
55;1765905670748289;-4485,195000;1765905670748288;-4485,195000;1765905670748289;0
56;1765905670748290;-4284,735000;1765905670748290;-4284,735000;1765905670748290;0
57;1765905670748292;-4084,275000;1765905670748292;-4084,275000;1765905670748292;0
58;1765905670748293;-3933,930000;1765905670748293;-4084,275000;1765905670748292;0
59;1765905670748294;-3933,930000;1765905670748293;-3883,815000;1765905670748294;0
60;1765905670748295;-3683,355000;1765905670748295;-3883,815000;1765905670748294;0
61;1765905670748296;-3683,355000;1765905670748295;-3683,355000;1765905670748296;0
62;1765905670755056;-3683,355000;1765905670748295;-3482,895000;1765905670755056;0
63;1765905670755058;-3282,435000;1765905670755058;-3482,895000;1765905670755056;0
64;1765905670755059;-3282,435000;1765905670755058;-3282,435000;1765905670755059;0
65;1765905670755060;-3081,975000;1765905670755060;-3081,975000;1765905670755060;0
66;1765905670755061;-2881,515000;1765905670755061;-3081,975000;1765905670755060;0
67;1765905670755062;-2681,055000;1765905670755062;-2881,515000;1765905670755062;0
68;1765905670755063;-2681,055000;1765905670755062;-2681,055000;1765905670755063;0
69;1765905670755064;-2480,595000;1765905670755064;-2480,595000;1765905670755064;0
70;1765905670755065;-2280,135000;1765905670755065;-2280,135000;1765905670755065;0
71;1765905670755066;-2079,675000;1765905670755066;-2079,675000;1765905670755066;0
72;1765905670755067;-1879,215000;1765905670755067;-1879,215000;1765905670755067;0
73;1765905670755073;-1678,755000;1765905670755073;-1678,755000;1765905670755073;0
74;1765905670755074;-1478,295000;1765905670755074;-1478,295000;1765905670755074;0
75;1765905670755075;-1077,375000;1765905670755075;-1277,835000;1765905670755075;0
76;1765905670755076;-876,915000;1765905670755076;-1077,375000;1765905670755076;0
77;1765905670755077;-876,915000;1765905670755076;-876,915000;1765905670755077;0
78;1765905670755078;-876,915000;1765905670755076;-3921,450000;1765905670755078;0
79;1765905670755079;-475,995000;1765905670755079;-676,455000;1765905670755079;0
80;1765905670755080;-475,995000;1765905670755079;-475,995000;1765905670755080;0
81;1765905670755081;-275,535000;1765905670755081;-275,535000;1765905670755081;0
