Index;Time_us;Ch1_val_uV;Ch1_ts_us;Ch2_val_uV;Ch2_ts_us;StimState
0;1765904824205277;;;-4476,225000;1765904824205277;0
1;1765904824205279;-405,015000;1765904824205279;-4324,125000;1765904824205279;0
2;1765904824205280;-1361,100000;1765904824205280;-4324,125000;1765904824205279;0
3;1765904824205281;864,825000;1765904824205281;-4475,250000;1765904824205281;0
4;1765904824205282;864,825000;1765904824205281;-4198,740000;1765904824205282;0
5;1765904824205283;1285,245000;1765904824205283;-4381,065000;1765904824205283;0
6;1765904824205284;3682,965000;1765904824205284;-3680,040000;1765904824205284;0
7;1765904824205285;-1069,965000;1765904824205285;61,620000;1765904824205285;0
8;1765904824205286;-348,855000;1765904824205286;3101,475000;1765904824205286;0
9;1765904824205287;3778,905000;1765904824205287;6389,565000;1765904824205287;0
10;1765904824205288;3549,585000;1765904824205288;6389,565000;1765904824205287;0
11;1765904824205289;3549,585000;1765904824205288;6389,565000;1765904824205289;0
12;1765904824205290;831,870000;1765904824205290;5833,815000;1765904824205290;0
13;1765904824205291;-1473,420000;1765904824205291;319,800000;1765904824205291;0
14;1765904824205292;-2800,980000;1765904824205292;319,800000;1765904824205291;0
15;1765904824205293;-2800,980000;1765904824205292;4690,140000;1765904824205293;0
16;1765904824205294;888,225000;1765904824205294;6389,565000;1765904824205294;0
17;1765904824205295;3568,695000;1765904824205295;-55,380000;1765904824205295;0
18;1765904824205296;5406,570000;1765904824205296;-3036,345000;1765904824205296;0
19;1765904824205297;1882,335000;1765904824205297;-3594,825000;1765904824205297;0
20;1765904824205298;1115,205000;1765904824205298;5163,795000;1765904824205298;0
21;1765904824205299;1173,120000;1765904824205299;-2723,370000;1765904824205299;0
22;1765904824205300;1269,255000;1765904824205300;-4620,915000;1765904824205300;0
23;1765904824205424;1844,895000;1765904824205424;-4620,915000;1765904824205300;0
24;1765904824205425;1844,895000;1765904824205424;-4308,330000;1765904824205425;0
25;1765904824205426;-207,090000;1765904824205426;-4408,950000;1765904824205426;0
26;1765904824205427;1440,465000;1765904824205427;-4199,325000;1765904824205427;0
27;1765904824205428;2663,700000;1765904824205428;-4190,355000;1765904824205428;0
28;1765904824205429;353,145000;1765904824205429;-3832,335000;1765904824205429;0
29;1765904824205430;125,190000;1765904824205430;-1505,595000;1765904824205430;0
30;1765904824205431;-687,960000;1765904824205431;3751,605000;1765904824205431;0
31;1765904824205432;-530,595000;1765904824205432;6389,565000;1765904824205432;0
32;1765904824205433;-1151,670000;1765904824205433;5843,565000;1765904824205433;0
33;1765904824205434;1668,615000;1765904824205434;-786,045000;1765904824205434;0
34;1765904824205435;2968,875000;1765904824205435;3225,690000;1765904824205435;0
35;1765904824205436;2031,705000;1765904824205436;3225,690000;1765904824205435;0
36;1765904824205437;3626,025000;1765904824205437;5393,310000;1765904824205437;0
37;1765904824205438;3626,025000;1765904824205437;-1018,290000;1765904824205438;0
38;1765904824205439;3665,220000;1765904824205439;-3620,565000;1765904824205439;0
39;1765904824205440;3900,585000;1765904824205440;-4442,295000;1765904824205440;0
40;1765904824205441;3365,895000;1765904824205441;4409,340000;1765904824205441;0
41;1765904824205442;537,615000;1765904824205442;-3113,370000;1765904824205442;0
